"Outra pobre vítima...","Yet another poor victim...","Otra pobre víctima..."
"Ouça, eu sou o que se chama de ""botânico"". Isso significa que estudo plantas. Tudo isso provavelmente está muito acima da sua compreensão, mas peço que tenha paciência comigo, certo, camarada?","Listen, I'm what's called a ""botanist."" That means I study plants. This is all probably waaay over your head, but just bear with me, all right, buddy?","Verás, resulta que soy ""botánico"". Es decir, me dedico a estudiar las plantas. Esto te vendrá muuuy grande, así que ten paciencia, amiguete."
"De qualquer forma, esse tal de Templo Perdido supostamente contém uma árvore muito rara, e estou procurando alguém pra ir lá e ""pegar emprestado"" um pedaço de sua raiz.","Anyway, this Lost Shrine place supposedly contains a very rare tree, and I'm looking for someone to go there and ""borrow"" a piece of its root.","La cosa es que en este Santuario Perdido, dicen, hay un árbol muy poco común y busco a alguien que quiera ""coger prestada"" una porción de su raíz."
"O que você acha? Vamos lá, camarada, é só um pedacinho da raiz!","What do you think? Come on, buddy, it's just one little piece of root!","¿Qué te parece? ¡Venga ya, amiguete! ¡Solo pido un poco de la raíz!"
"Vou fazer isso. Mas você tem que parar de me chamar de 'camarada'.","I'll do it. But you have to stop calling me 'buddy.'","Iré, pero deja de llamarme ""amiguete""."
"Aw, valeu, camarada! Você não tem ideia do que isso significa para a ciência!","Aw, thanks, buddy! You have no idea what this means for science!","¡Oh, gracias, amiguete! ¡Esto supondrá un hito para la ciencia!"
"Ei, tem Sombras aqui!","Hey, there are Shades here!","¡Eh, aquí hay Sombras!"
"Isso deve ser o suficiente de raiz. Vamos levá-la de volta para aquele cara.","This should be enough root. Let's get it back to that guy.","Con esta raíz debería bastar. Vamos a llevársela al tipo ese."
"Aqui está sua raiz. ... Camarada.","Here's your root. ...Buddy.","Aquí tienes la raíz..., amiguete."
"Ah, isso é magnífico! Isso deve ajudar com minha pesquisa! Veja, pesquisa é o que um cientista faz quando...","Oh, how wonderful! This should help with my research! See, research is what a scientist does when—","¡Oh, qué maravilla! ¡Esto me vendrá de fábula para mi investigación! A eso nos dedicamos los científicos cuando..."
"Eu sei o que é pesquisa. Vá direto ao ponto.","I know what research is. Get to the point.","Sí, entiendo el concepto. Al grano, anda."
"Bem... Veja, registros fósseis mostram que, em algum momento de um passado distante, toda a vida vegetal simplesmente desapareceu da superfície de nosso planeta.","Well... See, fossil records show that, at one point in the distant past, all plant life just up and disappeared from the surface of our planet.","Bueno... Los registros fósiles muestran que, mucho tiempo atrás, toda la vida vegetal desapareció abruptamente de la superficie del planeta."
"Mas é claro, há plantas aqui agora, o que significa que elas conseguiram voltar. Estou tentando descobrir como isso aconteceu.","But of course, there are plants here now, which means they managed to come back. I'm trying to figure out how that happened.","Sin embargo, ahora tenemos plantas de nuevo, por lo que sabemos que lograron reaparecer. Intento averiguar cómo ocurrió todo."
"Interessante. Se você descobrir, pode facilitar o cultivo de colheitas.","Interesting. If you figure it out, it might make growing crops a lot easier.","Interesante. Si lo descubres, te resultará mucho más sencillo cualquier cultivo."
"Huh, você é muito mais inteligente do que eu pensava, camarada! De qualquer forma, aqui está seu pagamento. Obrigado novamente!","Huh, you're way smarter than I thought, buddy! Anyway, here's your payment. Thanks again!","¡Anda, eres mucho más avispado de lo que creía, amiguete! Bueno, aquí tienes tu dinero. ¡Gracias de nuevo!"
"De volta ao trabalho, então!","Back to work, then!","¡Al tajo!"
"Ei, por acaso não sabe onde meu namorado está, sabe?","Hey, you don't happen to know where my boyfriend is, do you?","Oye, tú no conocerás el paradero de mi novio, ¿verdad?"
"Desculpe, senhora. Nenhuma ideia.","Sorry, lady. No idea.","Pero si ni siquiera te conozco a ti."
"Certo, é claro que você não sabe. Às vezes sou tão boba!","Right, of course you don't. I'm so silly sometimes!","¡Ya, claro! ¡Qué tontorrona!"
"Veja, meu namorado simplesmente desapareceu há cinco anos. Continuo esperando por ele, mas não faço ideia de onde ele foi ou se sequer está—","See, my boyfriend just up and vanished five years ago. I keep waiting for him, but I have no idea where he went or if he's even—","Es que desapareció de repente hace cinco años. Desde entonces, sigo esperándole, pero no sé a dónde fue o ni siquiera si sigue..."
"Ei, espere! Você é aquele garoto que faz o que as pessoas pedem para fazer, certo? Bem, então, vá encontrar meu namorado!","Hey, wait! You're that kid who does whatever people ask him to do, right? Well then, go find my boyfriend!","¡Un momento! ¿Tú no eres ese que va haciendo favores a troche y moche? ¡Pues sal en busca de mi novio!"
"Bom, as pessoas geralmente pedem gentilmente... E eu não faço ideia de como é o seu namorado, muito menos onde encontrá-lo.","Well, people usually ask nicely... And I have no idea what your boyfriend looks like, much less where to find him.","¡Oye! ¡Un poquito de educación! Además, ni siquiera sé el aspecto que tiene o dónde empezar a buscar."
"Bem, ele sempre usa um colar de ouro vistoso, então talvez você possa começar a partir disso?","Well, he always wears this flashy gold necklace, so maybe you can start there?","Siempre lleva un collar dorado muy reluciente. Ya es un punto de partida, ¿no?"
"E assim nos encontramos em uma caçada por um homem com um colar de ouro. Não exatamente a pista mais forte possível.","And so we find ourselves off on a hunt for a man with a golden necklace. Not exactly the strongest of possible leads.","Y allá vamos, en busca de un hombre con un collar dorado. No es que sea la mejor pista del mundo, vaya."
"Bem? Já encontrou meu namorado?","Well? Did you find my boyfriend yet?","¿Y bien? ¿Has encontrado ya a mi novio?"
"Cara com um colar de ouro, hein? Sim, ouvi dizer que algumas pessoas o viram indo para a Floresta dos Mitos.","Guy with a gold necklace, eh? Yeah, I heard some folks saw him heading for the Forest of Myth.","¿El tipo del collar dorado? Sí, he oído que lo vieron rumbo al Bosque de las Leyendas."
"A Floresta dos Mitos, huh? Talvez devêssemos fazer uma visita.","The Forest of Myth, huh? Maybe we should pay a visit.","¿El Bosque de las Leyendas? Habrá que pasarse por allí."
"Ah, claro, o cara com o colar? Eu não sei onde ele está agora, mas ouvi algumas histórias bem sórdidas sobre ele.","Oh sure, the guy with the necklace? I dunno where he is now, but I've heard some pretty sordid tales about him.","Ah, claro. ¿El tipo del collar? Ahora no sé dónde estará, pero me han contado historias muy perturbadoras sobre él."
"O homem com o colar? Oh, eu o conheço. Eu o conheço muuuuito bem, se é que você me entende. Grawl!","The man with the necklace? Oh, I know him. I know him veeery well, if you get my meaning. Grawl!","¿El hombre del collar? Ah, sí, lo conozco. Lo conozco muuuy bien, ¿me entiendes? ¡Grr!"
"Para falar a verdade, não o vejo há quase cinco anos—mas sei que ele vai voltar para mim.","Truth be told, I haven't seen him for almost five years—but I know he's coming back to me.","Llevo cinco años sin verlo, pero sé que algún día volverá a por mí."
"Isso é de fato muito tempo. Você não acha que talvez...","That's a really long time. You don't think maybe—","Eso es mucho tiempo. ¿No crees que quizá...?"
"Ele prometeu que voltaria, e ele vai! Ele era honesto e me amava—não como aquele meu ex-marido, se é que me entende!","He promised he'd come back, and he will! He was honest and he loved me—not like that old husband of mine, let me tell you!","¡Me prometió que volvería y así lo hará! Era muy sincero y me amaba de verdad... ¡Nada que ver con mi viejo marido, en absoluto!"
"Esse homem parece ter o dom de ser um embuste.","This man seems to have quite the gift for swindle.","Parece que este tío tiene un don para timar a la gente."
"Parece mesmo.","Sure seems like it.","Ya lo veo."
"O homem com o colar vendeu todo tipo de mercadoria legal, e seus preços eram muito bons! Não é todo dia que se conhece um cara assim...","The man with the necklace sold all kinds of neat merchandise, and his prices were so reasonable! It's not every day you meet a guy like that...","Vendía todo tipo de productos de calidad, ¡y a buenos precios! Pensaba que era un buen hombre..."
"Ah, aquele cara? Sim, ele era bem suspeito. Ouvi dizer que ele fugiu para o norte depois que as pessoas descobriram que as mercadorias eram falsificadas.","Oh, that guy? Yeah, he was pretty shady. I heard he beat it for the north after folks caught wind of his counterfeit goods.","Sí, no me parecía de fiar. Me dijeron que se fue al norte después de que unos tipos descubrieran que vendía productos falsificados."
"O homem com o colar? Sim, claro, eu me lembro dele. Ouvi dizer que ele partiu para o Lixão mais cedo.","The man with the necklace? Yeah, sure, I remember him. Heard he took off for the Junk Heap earlier.","¿El hombre del collar? Claro que me acuerdo de él. Dicen que partió hacia la chatarrería."
"Ótimo. Agora o Lixão? Talvez ele tenha encontrado os dois irmãos.","Great. Now the Junk Heap? Maybe he ran into the two brothers.","Estupendo. Ahora, la chatarrería. Quizá se topó con ambos hermanos."
"Bem-vindo, bem-vindo, bem-vindo! ","Welcome, welcome, welcome! ","¡Bienvenido! ¡Bienvenido! "
"Ei, tenho uma pergunta para você.","Hey, got a question for you.","Oye, tengo una pregunta para ti."
"Será que um cara com um colar de ouro apareceu aqui há cerca de cinco anos?","Did a guy with a gold necklace come around here maybe five years ago or so?","¿Vino por aquí un tipo con un collar dorado hace unos cinco años?"
"Com certeza! A mamãe costumava passar muito tempo com ele.","Sure did! Mom used to spend a lot of time with him.","¡Y tanto! Mi madre pasó mucho tiempo con él."
"Ah não. Não me diga que ele é o cara que encontramos com a mãe deles no Lixão...","Oh no. Don't tell me he's the guy we found with their mom in the Junk Heap...","Oh, no. No me digas que es el tipo que encontramos con su madre en la chatarrería..."
"Desculpe, o quê?","Sorry, what?","Perdón, ¿cómo?"
"Uh...nada. Deixa pra lá.","Uh...nothing. Never mind.","Eh..., nada. Descuida."
"Dificilmente conseguiremos manter isso em segredo para todas as partes, e ainda assim não consigo imaginar como começar a contar para eles.","We can hardly keep this a secret from all parties, and yet I can't imagine how to begin telling them.","Nos cuesta mantener esto en secreto pero no soy capaz de imaginar cómo empezar a contárselo todo."
"Ei, eu encontrei seu namorado.","Hey, I tracked down your boyfriend.","Eh, he dado con tu novio."
"Encontrou? E onde ele está!?","You did? Where is he!?","¿En serio? ¡¿Dónde está?!"
"Sinto muito em dizer isso, mas ele está morto. Encontramos o corpo dele há cinco anos no Lixão.","I'm sorry to tell you this, but he's dead. We found his body five years ago in the Junk Heap.","Lamento decirte esto, pero murió. Encontramos su cuerpo hace cinco años en la chatarrería."
"......","......","......"
"*sniff* Eu tinha uma sensação de que poderia ser o caso. É a única coisa que poderia explicar ele não entrar em contato por tanto tempo.","*sniff* I had a feeling that might be the case. It's the only thing that could explain him not contacting me for so long.","*sollozo* Tenía ese presentimiento. He pasado tanto tiempo sin tener noticias suyas, que era la única explicación que había."
"Obrigada. Acho que agora posso seguir em frente com minha vida.","Thanks. I think I can move on with my life now.","Gracias. Ahora podré pasar página y seguir con mi vida."
"Aqui está um pequeno presente para você. Eu aprecio você ter feito todo aquele trabalho para mim.","Here's a little gift for you. I appreciate you doing all that legwork for me.","Me gustaría entregarte esto. Te agradezco todo el esfuerzo que has hecho por mí."
"Eu não posso simplesmente ficar presa a ele pra sempre.","I can't just linger on him forever.","No puedo pasarme la vida aferrada a él."
"Ei, você tem tempo para me ajudar com algo?","Hey, you got time to help me with something?","Disculpa, tú eres el que se dedica a ayudar a los demás, ¿no? Necesitaría de tu colaboración."
"Prossiga.","Go on.","Adelante."
"Eu preciso que você compre uma faca de cozinha da loja dos dois irmãos e me traga de volta. Estou disposto a pagar um valor generoso por ela.","I need you to buy a kitchen knife from Two Brothers Weaponry and bring it back to me. I'm willing to pay a handsome sum for it.","Quisiera que compraras un cuchillo de cocina en la armería de los hermanos y me lo trajeras. Estoy dispuesto a llenarte bien los bolsillos si lo consigues."
"Por que não comprar uma aqui na cidade? Por que ir tão longe por um mero utensílio doméstico?","Why not just buy one here in town? Why go to such lengths for a mere household utensil?","¿Y por qué no lo compras en la ciudad? ¿Para que ir tan lejos por un simple utensilio doméstico?"
"Absolutamente não. A faca deve vir do Lixão! Vou pagar o que for preciso.","Absolutely not. The knife must come from the Junk Heap! I'll pay whatever it takes.","¡Imposible! ¡El cuchillo debe proceder de la chatarrería! ¡Te pagaré lo que haga falta!"
"Bem, se você diz...","Well, if you say so...","Bueno, si tú lo dices..."
"Obrigado. Quando me trouxer a faca, eu lhe darei o dinheiro.","Thanks. When you bring me the knife, I'll give you the money.","Gracias. Te daré el dinero en cuanto me lo traigas."
"Por favor, pegue aquela faca de cozinha para mim, tudo bem?","Please get that kitchen knife for me, all right?","Por favor, consígueme el cuchillo, ¿de acuerdo?"
"Ei, você trabalha com facas de cozinha?","Hey, you carry kitchen knives?","Hola, ¿tenéis cuchillos de cocina?"
"Desculpe, estamos sem no estoque. Nem mesmo temos os materiais para fazer uma.","Sorry, we're out of stock. Don't even have the materials to make one.","Lo siento, ya no nos quedan. Ni siquiera tenemos los materiales para fabricarlos."
"Esses materiais são algo que eu poderia conseguir?","Are these materials something I could get?","¿Y yo podría conseguirlos?"
"Claro! Eu só preciso de dez Ligas de Titânio. Você pode consegui-las daqueles robôs estúpidos.","Sure! I just need ten titanium alloys. You can get 'em from some of those stupid robots.","¡Claro! Solo necesitaría diez aleaciones de titanio. Puedes conseguirlas de algunos de esos estúpidos robots."
"Entendi. Eu volto já.","Got it. I'll be back.","De acuerdo. Volveré."
"Eu consegui aquelas Ligas de Titânio que você pediu.","I got that titanium alloy you wanted.","He traído las aleaciones de titanio que me pediste."
"Ótimo! Vou começar a trabalhar na faca imediatamente. Eee hee hee...","Great! I'll get to work on the knife right away. Eee hee hee...","¡Estupendo! Me pondré a trabajar en el cuchillo ahora mismo. Ji, ji, ji..."
"Aqui está. Uma faca de cozinha mundialmente famosa feita no Lixão!","There you go. One world-famous Junk Heap kitchen knife!","Aquí tienes. ¡Un célebre cuchillo de cocina de la chatarrería!"
"Mundialmente famosa, hein?","World-famous, huh?","¿Célebre?"
"Vegetal ou osso, nada corta melhor. É baseada em um design do meu pai.","Vegetable or bone, nothing cuts better. It's based off a design from my father.","¡Nada corta mejor las verduras o la carne! El diseño es de mi padre."
"Seu pai cozinhava?","Your father cooked?","¿Le gustaba cocinar?"
"Sim, ele fazia praticamente todas as refeições. Tudo o que minha mãe podia fazer era assar pão.","Yeah, he did pretty much all the cooking. All Mom could do was bake bread.","Sí, se pasaba la vida entre fogones. Mi madre solo se dedicaba a hornear el pan."
"Sinto muita falta daqueles dias... Eee hee hee!","I sure miss those days... Eee hee hee!","¡Cómo echo de menos aquellos años...! ¡Ji, ji, ji!"
"Aqui está a faca que você queria.","Here's the knife you wanted.","Aquí tienes tu cuchillo."
"Obrigado. ...Ah, como está Gideon está se virando, a propósito?","Thank you. ...Er, how's Gideon getting along, by the way?","Oh, gracias. Eh..., por cierto, ¿cómo le va a Gideon?"
"O que você quer dizer?","What do you mean?","¿A qué te refieres?"
"Bom, você sabe. Ele não tem pai e tudo mais. Só estava me perguntando se ele está bem.","Well, you know. He doesn't have a father and all. I was just wondering if he was doing all right.","Bueno, tú ya me entiendes. Como no tiene padre y eso, me preguntaba si le iría bien."
"O rapaz percorre uma estrada difícil e solitária, mas parece estar construindo uma vida decente.","The lad travels a hard and lonely road, but he seems to be making a decent life for himself.","Pues no lo tiene fácil estando solo, pero parece ser que se está labrando una vida digna."
"... É bom ouvir isso.","...That's good to hear.","Me alegro mucho."
"O que está acontecendo aqui?","Is something going on here?","¿Ocurre algo por aquí?"
"Não! Não, não. De qualquer forma, aqui está sua recompensa.","No! No, no. Anyway, here's your reward.","¡No! No, no. Bueno, aquí tienes tu recompensa."
"Ele está bem, huh...","He's all right, huh...","Está bien, eh..."
"Você ouviu? Aparentemente, tem uma certa agitação acontecendo no Lixão.","Have you heard? Apparently, there's some sort of commotion brewing over at the Junk Heap.","Oye, ¡¿te has enterado?! ¡Parece que se está liando una buena en la chatarrería!"
"Que tipo de agitação?","What kind of commotion?","¿A qué te refieres?"
"Não sei. Algo a ver com Sombras, se me lembro bem.","I dunno. Something to do with Shades, if I recall.","Pues no sé. La gente habla de Sombras, ataques y dientes a mansalva. Cosas así."
"Sombras, huh... Vou dar uma olhada.","Shades, huh... I'll go check it out.","¿Sombras? Iré a echar un vistazo."
"Se você está indo para o Lixão, é melhor ter cuidado.","If you're going to the Junk Heap, you'd better be careful.","Ten mucho cuidado si vas a pasarte por la chatarrería."
"Hmm, o que fazer, o que fazer... Ah! Bem-vindo, bem-vindo! Como cê tá?","Hmm, what to do, what to do... Ah! Welcome, welcome! How are you, how ya doing?","Mmm, ¿qué hago, qué hago...? ¡Ah! ¡Bienvenido, bienvenido! ¿Qué tal, cómo estás?"
"E aí. Como estão as coisas?","Hey there. How are things?","¿Qué hay? ¿Cómo va todo?"
"Ótimas! As coisas estão ótimas! Não poderiam estar melhores! Algumas Sombras tomaram conta do segundo andar do Lixão.","Great! Things are great! Couldn't be better! Shades just took over the second floor of the Junk Heap, is all. ","¡Estupendo! ¡Todo genial! ¡De maravilla! Las Sombras se han instalado en la segunda planta de la chatarrería, eso es todo. "
"Você não parece muito preocupado.","You don't seem too concerned.","No te veo muy preocupado."
"Não importa! Ninguém se importa! As pessoas não vão tão longe mesmo! Só ficou um pouco mais difícil coletar materiais para minhas novas armas.","Doesn't matter! No one cares! Folks don't go in that far anyway! Just makes it hard to gather materials for my new weapons.","¡Es que da igual! ¿A quién le importa? ¡Nadie llega tan lejos! Ahora me costará más recopilar materiales para mis nuevas armas, pero ya está."
"Se não posso trabalhar nas armas, isso me afeta. Vou lá limpar eles.","If you can't work on weapons, that affects me. I'm gonna go clear 'em out.","Si no puedes fabricar armas, yo salgo perjudicado. Voy a eliminarlas."
"Eee hee hee! Boa sorte! Você não vai muito longe!","Eee hee hee! Good luck! You ain't gettin' very far!","¡Ji, ji, ji! ¡Buena suerte! ¡No te será fácil!"
"Por quê?","Why not?","¿Eh?"
"As Sombras destruíram toda a maquinaria do elevador no primeiro andar. Arrancaram tudo! Se você quiser usar, precisa trocar as peças!","Shades tore up all the elevator machinery on the first floor. Ripped it up! If you wanna use it, you gotta switch out the parts!","Las Sombras han destrozado las piezas del ascensor en la primera planta. ¡Arrancadas de cuajo! ¡Si quieres usarlo, tendrás que cambiarlas! ¡Ji, ji, ji! "
"Você consegue fazer essas peças?","Can you make those parts?","¿Y tú puedes fabricarlas?"
"Eu poderia se tivesse cinco Baterias Quebradas e cinco Motores Quebrados.","I could if I had five broken batteries and five broken motors.","Podría si tuviera cinco baterías en mal estado y cinco motores estropeados."
"Tudo bem. Vou pegar as coisas e você fabrica as peças. Feito?","All right. I'll get the stuff, and you make the parts. Deal?","Muy bien. Yo traigo los materiales y tú fabricas las piezas. ¿Te parece?"
"Você poderia destruir um monte de robôs enquanto está lá dentro? Apenas estraçalhe-os! Mate-os! Isso! Sim!","Could you bash up a bunch of robots while you're in there? Just rip 'em apart! Kill 'em! Yeah! Yeah!","¿Y podrías encargarte de unos cuantos robots una vez allí? ¡Destrózalos! ¡Acaba con ellos! ¡Sí! ¡Sí!"
"Eu tenho os materiais.","I've got the materials.","Traigo los materiales."
"Matou alguns robôs, né? Eee hee hee! Matou pra valer? Despedaçou eles? Bem, deixe-me trabalhar nisso...","Killed some robots, didja? Eee hee hee! Killed 'em good? Ripped 'em apart? Well, lemme get to work on this...","Te has cargado a unos cuantos robots, ¿eh? ¡Ji, ji, ji! ¡Ya son historia! ¡Un montón de amasijos! Bueno, manos a la obra..."
"Aqui, só coloca isso no elevador ao final do primeiro andar. Boa sorte lá dentro. Não morra!","Here, just put this in the elevator at the far end of the first floor. Good luck in there. Don't get dead!","Toma, coloca esto en el ascensor, al fondo de la primera planta. ¡Buena suerte! ¡Y ándate con ojo! ¡Ji, ji, ji, ji!"
"Então só precisamos trocar as peças deste elevador, certo?","So we just need to replace the parts in this elevator, right?","¿Así que solo tenemos que sustituir las piezas en este ascensor?"
"Perfeito. Agora podemos subir para o segundo andar.","Perfect. Now we can head up to the second floor.","Perfecto. Ahora podemos subir hasta la segunda planta."
"Nós eliminamos as Sombras do segundo andar.","We took out the second-floor Shades.","Hemos eliminado a las Sombras de la segunda planta."
"Muito obrigado, muito obrigado! Agora posso fazer armas ainda mais poderosas e matar AINDA MAIS ROBÔS! Eee hee hee hee!","Thanks much, thanks much! Now I can make my weapons even more powerful and kill EVEN MORE ROBOTS! Eee hee hee hee!","¡Muchas gracias, muchas gracias! ¡Ahora podré potenciar mis armas mucho más y cargarme a más robots todavía! ¡Ji, ji, ji, ji!"
"Você não está preocupado com as Sombras? Quer dizer, uma daquelas matou seu irmão, afinal de contas.","Aren't you concerned about the Shades? I mean, one of those things killed your brother, after all.","¿No te preocupan nada las Sombras? Porque, a fin de cuentas, una mató a tu hermano."
"Não foram eles! Mentiroso! MENTIROSO! Robôs mataram meu irmão, não Sombras! Grandes robôs nojentos! Esmagaram ele como um inseto!","No they didn't! Liar! LIAR! Robots killed my brother, not Shades! Big nasty robots! Squashed him like a bug!","¡Para nada! ¡Eso es mentira! ¡Mentira! ¡Fueron los robots, no las Sombras! ¡Esos malditos robots! ¡Lo aplastaron como si fuera una cucaracha!"
"Vou matar os robôs! Despedaçá-los! Despedaçar todos eles! Eee hee hee!","Gonna kill the robots! Rip 'em up! Rip 'em all up! Eee hee hee!","¡Voy a matar a los robots! ¡A destrozarlos! ¡A destrozarlos! ¡Ji, ji, ji!"
"Eeeeee hee hee hee! Não é mesmo, Jakob? Certo!? Eee hee hee!","Eeeeee hee hee hee! Isn't that right, Jakob? Right!? Eee hee hee!","¡Jiii, ji, ji, ji! ¿Verdad, Jakob? ¡¿Verdad?! ¡Ji, ji, ji!"
"......","......","......"
"Temo que a mente do rapaz se foi. Não faz mais nada além de extravasar seu ódio por aqueles autômatos mecânicos sem mente.","I fear the lad's mind is gone. He seems capable of nothing but hate for those mindless mechanical automatons.","Me parece que ha perdido la chaveta. Lo único que hace es generar odio hacia esos autómatas mecánicos sin cerebro."
"(Ó grande benfeitor! Por favor, ouça nossa súplica!)","(O great benefactor! Please hear our supplication!)","(¡Oh, gran benefactor! ¡Atiende nuestras súplicas!)."
"Uh, você está falando comigo?","Uh, are you talking to me?","Eh, ¿me hablas a mí?"
"(Os lobos deram um golpe devastador em nossa cidade e só agora começamos a reconstrução.)","(The wolves have dealt our city a devastating blow, and we are just starting to rebuild.)","(Los lobos han asestado un golpe devastador a nuestra ciudad y estamos comenzando las labores de reconstrucción)."
"(No entanto, a escala da destruição foi enorme, e nos encontramos com pouca madeira e metal.)","(However, the scale of the destruction was massive, and we find ourselves running low on metal and wood.)","(El problema es que el nivel de destrucción es tal, que nos estamos quedando sin metales y sin madera)."
"(Precisamos adquirir vinte pedaços de minério de ferro, vinte pedaços de argila e vinte toras. Por favor, ó poderoso! Por favor, nos ajude!)","(We need to acquire twenty pieces of iron ore, twenty pieces of clay, and twenty logs. Please, O mighty one! Please aid us!)","(Necesitamos hacernos con veinte trozos de hierro, veinte piezas de arcilla y veinte troncos. ¡Por favor, oh, todopoderoso! ¡Ayúdanos!)."
"Claro—mas você tem que parar de me chamar de poderoso.","Sure—but you have to stop calling me mighty one.","Vale... Pero deja de llamarme ""todopoderoso""."
"(Obrigado por ouvir nosso apelo!)","(Thank you for lending an ear to our plight!)","(¡Gracias por atender a nuestras plegarias!)."
"Encontrei suas coisas.","I've got your stuff.","He traído lo que necesitabas."
"(Ah, perfeito! Isso nos aproxima de uma vida normal.)","(Ah, perfect! This brings us one step closer to normalcy.)","(¡Ah, perfecto! Esto nos ayudará con la restauración)."
"(Aqui está um pequeno gesto de agradecimento. Espero que você esteja disposto a aceitá-lo.)","(Here's a small token of our thanks. I hope you are willing to accept it.)","(Aquí tienes una pequeña muestra de agradecimiento. Espero que la aceptes)."
"(Precisamos adquirir vinte peças de Minério de Ferro, vinte peças de Argila e vinte Toras. Obrigado, poderoso colecionador!)","(We need to acquire twenty pieces of iron ore, twenty pieces of clay, and twenty logs. Thank you, O mighty collector!)","(Necesitamos hacernos con veinte trozos de hierro, veinte piezas de arcilla y veinte troncos. ¡Gracias, oh, poderoso proveedor!)."
"(Temos um problema: um grande número de pessoas desapareceram nas tempestades de areia recentes.)","(We have a problem: A great number of people have gone missing in the sandstorm lately.)","(Tenemos un problema: últimamente, mucha gente ha desaparecido en la tormenta de arena)."
"Isso não é bom. Você tem alguma ideia do porquê?","That's not good. You have any idea why?","No suena nada bien. ¿Se conoce el motivo?"
"(Não. Os soldados investigaram, mas não encontraram nada.)","(No. The soldiers investigated, but they didn't find anything.)","(No. Los soldados han investigado, pero no han encontrado nada)."
"Hmm... É melhor averiguarmos isso.","Hmm... We'd better look into it.","Mmm... Tendríamos que mirarlo."
"Tinha uma grande Sombra se escondendo dentro da tempestade de areia. Foi isso que aconteceu com o seu povo.","There was a large Shade hiding inside the sandstorm. That's what happened to your people.","Había una gran Sombra oculta en la tormenta de arena. Por eso hubo tantos desaparecidos."
"(Estava dentro da tempestade? Não me admira que não conseguíamos encontrá-la.)","(It was inside the storm? No wonder we couldn't find it.)","(¿Dentro de la tormenta? Normal que no diéramos con ella)."
"(Muito obrigado. Aqui está seu pagamento.)","(Thank you very much. Here is your payment.)","(Muchas gracias. Aquí tienes tu recompensa)."
"Fique alerta. Onde tem uma Sombra, geralmente há mais.","Stay alert. Where there's one Shade, there's usually more.","No bajéis la guardia. Las Sombras suelen ir siempre acompañadas."
"(Oh, o que faremos...?)","(Oh, what are we going to do...?)","(Oh, ¿y qué vamos a hacer...?)."
"Nós vamos cuidar disso.","We'll take care of it.","Nosotros nos encargaremos."
"Descanse em paz, bom rei! Já estamos bastante acostumados com esse tipo de coisa.","Rest easy, good king! We are quite used to this manner of thing by now.","¡Relájese, buen rey! Ya estamos bastante acostumbrados a estas cosas."
"(Eu gostaria que pudéssemos ajudar <FONT=ITALIC>você</FONT> ao menos uma vez.)","(I wish we could help <FONT=ITALIC>you</FONT> for a change.)","(Ojalá pudiéramos <FONT=ITALIC>ayudarte</FONT> por una vez)."
"(A lenda diz que as Sombras são formas profanadas dos reis que governaram na antiguidade.)","(Legend has it that the Shades are desecrated forms of the kings that ruled in ancient times.)","(Cuentan que las Sombras son formas profanadas de los reyes que gobernaron en tiempos remotos)."
"(Será que os antigos reis aspiraram tanto pela longevidade que se transformaram nesses abominações?)","(Why would the old kings yearn so much for life that they transformed themselves into those abominations?)","(¿Qué anhelarían tanto los antiguos reyes en vida para acabar transformados en estos monstruos?)."
"(Obrigado por eliminar as Sombras. Aqui está uma pequena recompensa pelo seu trabalho.)","(Thank you for dispatching the Shades. Here is a small reward for your work.)","(Gracias por eliminar a las Sombras. Toma una pequeña recompensa por tu trabajo)."
"O que você está fazendo no meio do deserto?","What are you doing in the middle of the desert?","¿Qué haces en mitad del desierto?"
"(Ah, apenas rastreando lobos. Eles têm se movimentado bastante recentemente, então fiquei curioso.)","(Oh, just tracking wolves. They've been on the move lately, so I was curious.)","(Ah, voy en busca de lobos. Últimamente han estado de aquí para allá y me picaba la curiosidad)."
"Ah. Bem, tome cuidado.","Oh. Well, be careful.","Ah. Bueno, ten cuidado."
"Ei, eu me lembro de você. Ainda está rastreando lobos?","Hey, I remember you. Are you still tracking wolves?","Oye, me acuerdo de ti. ¿Sigues persiguiendo lobos?"
"(Não, agora estou atrás das Sombras. Elas têm sido bem ativas ultimamente.)","(No, I've moved on to Shades. They've been pretty active lately.)","(No, me he pasado a las Sombras. Últimamente han estado muy activas)."
"Hum. Bem, tenha cuidado, certo?","Huh. Well, be careful, all right?","Vaya. Bueno, ten cuidado, ¿vale?"
"O que você está fazendo aqui fora?","What are you doing out here?","¿Qué estás haciendo aquí fuera?"
"(Nada de especial. O comportamento recente deles me deixou curioso, só isso.)","(Nothing special. Their recent behavior has me curious, is all.)","(Nada en particular. Me produce curiosidad su comportamiento últimamente, solo eso)."
"Er, desculpe. Comportamento de quem?","Er, sorry. Whose behavior?","Eh, disculpa. ¿El comportamiento de quién?"
"(Os habitantes da cidade! Você é idiota ou algo assim?)","(The townspeople! Are you an idiot or something?)","(¡De la gente del pueblo! ¿Eres tonto o qué?)."
"Cuidado! Isso é uma Sombra!","Watch out! This thing is a Shade!","¡Cuidado! ¡Esta cosa es una Sombra!"
"Tem mais deles por perto!","There's more of them nearby!","¡Hay más por los alrededores!"
"(O que está acontecendo aqui!)","(What's going on here!?)","(¡¿Qué está pasando aquí?!)."
