"Afastem-se, seus monstros!","Get away, you freaks!","¡Largo de aquí, monstruos!"
"Comparando tamanhos, nunca vimos nada parecido com essa coisa! Fique em guarda!","The scale of this one is like nothing you've encountered before! Ready your guard!","¡No te las has visto nunca contra algo tan grande! ¡Ponte en guardia!"
"Morra! Morra, morra, morra!","Die! Die, die, die!","¡Muere! ¡Muere, muere, muere!"
"Eu vou arrancar seus dentes e enfiá-los no seu rabo!","I'm gonna pull out your teeth and cram 'em up your ass!","¡Te voy a sacar los dientes para metértelos por el culo!"
"A boca dessa mulher é tão feroz quanto sua habilidade com a espada!","That woman's mouth is as fierce as her swordwork!","¡Esa mujer es tan dura con la boca como con la espada!"
"Vamos nos concentrar em derrotar essa coisa!","Let's just focus on defeating this thing!","¡Centrémonos en cargarnos a esta cosa!"
"Este lugar não é digno de uma pessoa da minha grandeza.","This place is hardly befitting one of my grand stature.","Este lugar no es adecuado para alguien de mi talla."
"Você realmente gosta de reclamar, Weiss.","You sure do like to complain, Weiss.","Desde luego, cómo te gusta quejarte, Weiss."
"Essa areia está impossível. Mal consigo abrir meus olhos!","This sand is too much. I can barely open my eyes!","Estoy harto de tanta arena. ¡Apenas puedo abrir los ojos!"
"Pth! Blech! No momento em que abro a boca, a areia corre para dentro!","Pth! Blech! The moment I open my mouth, the sand rushes inside!","¡Puf! ¡Buaj! ¡En cuanto abro la boca, se me mete arena dentro!"
"Você TEM ATÉ boca!? Spth! Plllth!","Do you even HAVE a mouth!? Spth! Plllth!","¡¿Pero tú tienes boca?! ¡Sput! ¡Puf!"
"Como a Fyra lida com isso?","How does Fyra deal with this?","¿Cómo se las apaña Fyra?"
"Deve haver algum tipo de filtro dentro daquela máscara dela.","Perhaps there is some manner of filter inside that mask of hers.","Quizá tenga algún tipo de filtro dentro de la máscara."
"Essa quantidade absurda de regras não parece diminuir!","This madcap barrage of rules shows no signs of slowing!","¡Este bombardeo de reglas absurdas no tiene fin!"
"Calma, Weiss. Precisamos de silêncio ou vamos estragar tudo de novo!","Easy, Weiss. We need quiet or we're gonna mess this up again!","Tranquilo, Weiss. ¡Será mejor guardar silencio o volveremos a meter la pata!"
"Pah. Esse povo mascarado certamente gosta de seus costumes bizarros...","Pah. These Masked folk certainly enjoy their bizarre customs...","Bah. Esta gente enmascarada sí que aprecia sus extraños hábitos..."
"Fico pensando no quê que os levou a criar regras tão complicadas?","I wonder what drove them to make such complicated rules?","¿Qué los habrá llevado a crear unas reglas tan complicadas?"
"Sem regras para nos prender, somos livres para liberar todo o nosso poder!","Without any rules to bind us, we are free to unleash the entirety of our powers!","¡Sin reglas que nos aten, somos libres para desplegar todos nuestros poderes!"
"Já estava na hora!","It's about time!","¡Ya es casi la hora!"
"É bem silencioso aqui.","It sure is quiet here.","Qué silencio hay aquí."
"Tal silêncio não augura nada de bom. Problemas estão a caminho. Tenho certeza disso.","Such silence bodes ill. There's trouble on the way—I'm certain of it.","Tanto silencio no puede traer nada bueno. Se avecinan problemas, seguro."
"Sabe, um <FONT=ITALIC>pouco</FONT> de otimismo de vez em quando não faria mal, Weiss.","You know, a <FONT=ITALIC>little</FONT> optimism now and then wouldn't hurt, Weiss.","Un <FONT=ITALIC>pelín</FONT> de optimismo de vez en cuando no viene nada mal, ¿sabes, Weiss?"
"Que atrevimento!","Such cheek!","¡Qué insolencia!"
"Quanta insolência! Como ele se atreve a nos dar ordens!","The nerve! How dare he boss us around!","¡Menudo descaro! ¿Cómo se atreve a darnos órdenes?"
"Está tudo bem, Weiss. Pelo menos estamos ajudando as pessoas.","It's okay, Weiss. At least we're helping people.","No pasa nada, Weiss. Al menos, estamos ayudando."
"Pah! Você é muito molenga!","Pah! You are far too soft!","¡Bah! ¡Menudo blandengue estás hecho!"
"E você é apenas um velho reclamão... livro!","And you're just a cranky old man...book!","¡Y tú eres un viejo cascarrabias! ¡Un libro viejo y cascarrabias!"
"Como você se atreve a me fazer caçar cabras!","How dare you make me hunt down goats!","¡Cómo te atreves a ponerme a cazar cabras!"
"Eles não são cabras, são ovelhas.","They're not goats, they're sheep.","Son ovejas."
"Qual é a diferença?","What is the difference?","¿Cuál es la diferencia?"
"Eles são totalmente diferentes! As brancas e fofas são ovelhas, e as magras e peludas são cabras!","They're totally different! The white, fluffy ones are sheep, and the scrawny, hairy ones are goats!","¡No se parecen en nada! Las esponjosas son ovejas; las escuálidas, cabras."
"As pessoas também são diferentes, mas todas são chamadas de humanas...","People are different as well, yet you're all just called humans...","La gente también es diferente y todos os llamáis humanos..."
"É, pois é...","Yeah, yeah...","Que sí, que sí..."
"Tantos lugares por aí, como as Sombras vieram parar aqui?","How could there be Shades here, of all places?","¿Cómo puede haber Sombras en un sitio como este?"
"Aposto que eles aparecem sempre que o sol deixa de brilhar.","I wager they appear whenever the sun stops shining.","Apuesto a que aparecen cuando el sol deja de brillar."
"Eu preferiria que tivessem escolhido permanecer em qualquer buraco úmido que chamam de lar...","Though I would prefer it if they had chosen to remain in whatever dank hole they call home...","Aunque preferiría que se hubieran quedado en el agujero del que han salido..."
"Saia da minha frente! Eu tenho que salvar Yonah!","Get out of my way! I have to save Yonah!","¡Fuera de mi camino! ¡Tengo que salvar a Yonah!"
"Acalme-se! Você não vai vencer se estiver cego pela raiva.","Calm down! You cannot prevail if you are blinded with rage.","¡Relájate! No puedes vencer si te ciega la ira."
"Como essas criaturas nos deixam matá-las sem reclamar!?","How can these creatures let us dispatch them without complaint!?","¡¿Cómo pueden estas criaturas dejar que las despachemos sin quejarse?!"
"E o que faz com que eles apareçam nesta área, pra começo de conversa?","And what would make them appear in this area in the first place?","Y, sobre todo, ¿por qué han aparecido en este lugar?"
"Mal pode ser considerado solo especialmente fértil...","It is hardly what one would call especially fertile ground...","Desde luego, nadie diría que este es un terreno especialmente fértil..."
"O ataque com espada deles não deve ser subestimado!","Their sword attack is not to be trifled with!","¡Sus ataques con la espada no son nada desdeñables!"
"Mantenha a distância! Deixe que a magia faça o trabalho aqui.","Keep your distance! Let your magic do the work here.","¡Mantén la distancia! Deja que tu magia haga el trabajo aquí."
"Essas criaturas se movem com uma velocidade surpreendente!","The creatures move with surprising speed!","¡Las criaturas se mueven a una velocidad sorprendente!"
"Circule ao redor delas e ataque!","Circle around them and attack!","¡Muévete en círculos a su alrededor y ataca!"
"Quem sabe você possa parar de falar e me ajudar aqui!","Maybe you can stop talking and help me out here!","¡A lo mejor podrías dejar de hablar y echarme una mano!"
"Eu lhe concedi o poder de Grimório Weiss!","I have granted you the power of Grimoire Weiss!","¡Te he concedido el poder de Grimoire Weiss!"
"Ah, fala sério!","Oh, come on!","¡Oh, venga ya!"
"Você deve se proteger contra seus ataques!","You must guard against their attacks!","¡Debes protegerte de sus ataques!"
"Sim, eu sei disso!","Yeah, I know that!","¡Sí, eso ya lo sé!"
"Concentre-se em derrubá-los um de cada vez!","Focus on taking them down one at a time!","¡Concéntrate en derribarlas de una en una!"
"É uma barreira defensiva!","It's a defensive barrier!","¡Es una barrera defensiva!"
"Isso me soa mal.","That sounds bad.","Eso suena mal."
"Inimigos com essas barreiras são impenetráveis tanto para armas quanto para magia!","Enemies with such barriers are impervious to both weapons and magic!","¡Los enemigos con esas barreras son inmunes a las armas y a la magia!"
"Como eu disse... mal!","Like I said...bad!","¡No me equivocaba!"
"Dito isso, o inimigo não pode se mover enquanto estiver usando a barreira. Concentre seus ataques no outro!","That said, the enemy cannot move so long as the barrier is in place. Focus your attacks on the other!","Aun así, el enemigo está inmóvil mientras tanto. ¡Ataca al otro!"
"O quê!?","What!?","¡¿Qué?!"
"Desvie, seu tolo!","Dodge, you fool!","¡Esquiva, idiota!"
"O que você está fazendo? Eu disse para desviar!","What are you doing? I told you to dodge!","¿Qué estás haciendo? ¡Te he dicho que esquives!"
"Eu não posso desviar quando os ataques vem em minha direção de repente!","I can't dodge when it comes at me all sudden like that!","¡No puedo esquivar un ataque tan repentino!"
"Leia os padrões de ataque deles!","Read their attack patterns!","¡Estudia sus patrones de ataque!"
"Agora é o outro que tem uma barreira!","Now the other one has a barrier!","¡Ahora el otro tiene una barrera!"
"Eles mudaram NOVAMENTE!?","They changed AGAIN!?","¿Han vuelto a cambiar? ¡¿De nuevo?!"
"Eles podem recuperar sua energia se dermos a eles tempo para isso.","They can replenish their energy if we grant them the time to do so.","Pueden restaurar su energía si les damos suficiente tiempo."
"Vergonhoso! E depois que eu lhe concedi todo esse poder!","Shameful! And after I granted you all that power!","¡Qué vergüenza! ¿Para eso te he otorgado todo ese poder?"
"Eu farei melhor da próxima vez!","I'll do better next time!","¡Lo haré mejor la próxima vez!"
"Onde você está mirando? Você nem chegou perto!","What are you aiming at? You weren't even close!","¿A dónde estabas apuntando? ¡Ni siquiera te has acercado!"
"É mais difícil do que parece, tá legal!?","It's harder than it looks, okay!?","¡Es más difícil de lo que parece, ¿vale?!"
"Quem sabe numa próxima você acerte, mmm?","Perhaps you should try succeeding next time, mmm?","Quizá deberías intentar hacerlo bien la próxima vez, ¿no?"
"Se você espera resgatar sua irmã, você deve derrotar esses inimigos.","If you hope to rescue your sister, you must defeat these foes.","Si quieres rescatar a tu hermana, debes derrotar a estos enemigos."
"Concentre-se no inimigo à sua frente!","Focus on the enemy before you!","¡Céntrate en el enemigo que tienes delante!"
"Você abandonaria tão facilmente sua irmã indefesa?","Would you so easily abandon your helpless sibling?","¿Vas a abandonar tan fácilmente a tu hermana indefensa?"
"Parece que esses inimigos não estão mais apenas sacudindo seus sabres.","It seems these foes are no longer merely rattling their sabers.","Parece que estos enemigos ya no se limitan a hacer repiquetear los sables."
"O quê? Eles NEM TÊM sabres!","What? They don't even HAVE sabers!","¿Qué? ¡Ni siquiera tienen sables!"
"É uma metáfora, tolo! Significa que o poder de ataque deles aumentou!","It is a metaphor, fool! It means their attack power has increased!","¡Es una metáfora, idiota! ¡Significa que su poder de ataque ha aumentado!"
"Só falta mais um! Mantenha a guarda!","One to go! Keep your guard up!","¡Queda una! ¡No bajes la guardia!"
"Tem... mais deles!?","There's...more of them!?","¡¿Hay... más?!"
"Foque primeiro nos menores!","Focus on the small ones first!","¡Céntrate primero en las pequeñas!"
"Seu ataque deve ser impiedoso!","Your attack must be unrelenting!","¡Tus ataques deben ser constantes!"
"Ela fica vulnerável entre alguns ataques! Ataque agora!","She's vulnerable between attacks! Strike then!","¡Es vulnerable entre ataque y ataque! ¡Aprovecha ese momento!"
"Esta mulher certamente não deve ser menosprezada!","This woman is certainly not to be trifled with!","¡Esta mujer es de armas tomar!"
"Não baixe a guarda!","Don't let your guard waver!","¡No dejes que tu guardia flaquee!"
"Ele certamente é um inimigo obstinado.","He certainly is a stubborn foe.","Desde luego, es un enemigo obstinado."
"Kainé está em apuros! Se apresse!","Kainé struggles! You must hurry!","¡Kainé está en apuros! ¡Date prisa!"
"Kainé! Desculpe a demora!","Kainé! Sorry to keep you!","¡Kainé! ¡Perdón por hacerte esperar!"
"O que é aquilo que ele está segurando?","What is that thing it's holding?","¿Qué es eso que llevas?"
"Parece que ele está os expelindo de dentro...","It appears to be spewing them from within...","Es como si estuviera escupiéndolas desde el interior..."
"Bem, seja o que for, precisamos tirá-lo primeiro!","Well, whatever it is, we need to take it out first!","Bueno, sea lo que sea, ¡es lo primero de lo que tenemos que deshacernos!"
"Está... cheio de Sombras?","Is it...full of Shades?","Está... hasta los topes de Sombras?"
"Ataque antes que ele encontre outro brinquedo!","Attack before it finds another toy!",
"Não deixe ele escapar!","Don't let it get away!","¡No dejes que se escape!"
"Eu não vou! Logo Kainé e eu o cercaremos!","I won't! Soon Kainé and I will have it surrounded!","¡No lo haré! ¡Kainé y yo no tardaremos en tenerla rodeada!"
"Este não é momento para covardia!","This is no time for cowardice!","¡No es momento para acobardarse!"
"Estão organizando uma última ofensiva desesperada, pelo que vejo.","Mounting a last desperate offensive, I see.","Preparando una última ofensiva a la desesperada, por lo que veo."
"Aquele ataque é perigoso!","That attack's bad news!","¡Ese ataque es una jodienda!"
"Agora!","Now!","¡Ahora!"
"Como esse animal ainda está de pé!?","How can the beast still stand!?","¡¿Cómo puede seguir esa bestia en pie?!"
"Ele não pode mais escapar de nós!","It can escape us no longer!","¡No puede seguir escapando de nosotros!"
"As páginas deste livro infernal são afiadas como facas!","The pages of this infernal book are sharp as knives!","¡Las páginas de este libro infernal están afiladas como cuchillas!"
"Acho que você nunca aprendeu esse truque, né?","Guess you never learned that trick, huh?","Parece que nunca llegaste a aprender ese truco, ¿eh?"
"Não acho que magia possa ferir essa coisa.","I don't think magic can hurt that thing.",
"Use sua lâmina! Transforme aquele livro em um túmulo!","Use your blade! Turn that tome into a tomb!",
"Nossa, isso não foi legal.","Wow, that was really bad.",
"Acerte o livro assim que ele parar!","Strike the book as soon as it stops!","¡Golpea al libro en cuanto se detenga!"
"Essa coisa é bem resistente para um livro!","This thing's pretty tough for a book!","¡Esta cosa es demasiado resistente para ser un libro!"
"Aquelas mãos são um muito inconvenientes.","Those hands are quite a bother.","Esas manos son un fastidio."
"Acho que podemos machucá-lo quando as mãos estiverem abertas.","I think we can hurt it when the hands are open.",
"Essa coisa tem muitos movimentos!","This thing's got all kinds of moves!","¡Esta cosa está llena de recursos!"
"Ah, que divertido!","Oh, what fun!","Anda, ¡qué divertido!"
"Me parece que magia não tem efeito contra a cabeça.","It would seem magic has no effect against the head.","Parece que la magia no afecta a la cabeza."
"O guardião deste templo é deveras exótico, de fato!","The guardian of this temple is a curious sight indeed!","¡El guardián de este templo es algo digno de contemplar!"
"Logo um livro falando isso!","Says the talking book!","¡Habló el libro parlante!"
"Detecto magia dentro dos cubos brilhantes.","I detect magic within the glowing cubes.","Detecto magia dentro de los cubos brillantes."
"Que sem noção...","How mindless...","Qué irracional..."
"O QUE É essa coisa?","What IS this thing?","¿Qué es esta cosa?"
"Hmm... Me parece interessante.","Hmm... This should prove interesting.","Mmm... Esto va a ser interesante."
"Kainé! Os cubos brilhantes são prioridade!","Kainé! The glowing cubes take priority!","¡Kainé! ¡Los cubos brillantes tienen prioridad!"
"Foda-se suas prioridades! Vou matar essa coisa do MEU jeito!","Screw your priorities! I'm gonna kill this thing MY way!","¡Que les den a tus prioridades, libro! ¡Voy a hacerlo a mi manera!"
"Tá se movendo! ...Deve haver um padrão nisso.","It's moving! ...There must be a pattern to it.",
"Eu nunca fui bom com charadas.","I never was good with riddles.",
"Rápido! Destrua-o quando chegar na ponta do braço!","Hurry! Destroy it when it reaches the tip of the arm!",
"Os braços ficam vulneráveis quando ele ataca!","The arms are vulnerable when it attacks!","¡Cuando ataca, sus brazos son vulnerables!"
"Preciso me aproximar e fazê-lo atacar...","I need to get closer and make him attack...","Tengo que acercarme y hacer que ataque..."
"Você não vai conseguir acertá-lo de longe!","You cannot hope to harm this one from a distance!","¡No puedes hacerle daño desde lejos!"
"Encontre uma abertura para atacar!","Find an opening for your attack!","¡Encuentra un hueco para atacar!"
"Tô trabalhando nisso!","I'm working on it!","¡Estoy en ello!"
"Rápido, antes que a vila seja reduzida a cinzas!","Hurry, lest the village be reduced to ashes!","¡Date prisa o la aldea quedará reducida a cenizas!"
"Podemos subir por aqui!","We can climb up from here!","¡Podemos subir por aquí!"
"sem texto","no text","no text"
"Esses braços estão se tornando um grande problema...","Those arms are proving to be quite the bother...","Esos brazos están siendo todo un incordio..."
"Como que eu vou machucar essa coisa!?","How am I supposed to hurt this thing!?","¡¿Cómo se supone que voy a hacerle daño a esta cosa?!"
"Talvez seu interior seja mais vulnerável...","Perhaps its interior is more vulnerable...","Quizá el interior sea más vulnerable..."
"Então, dispare alguma magia na boca dele!","So then fire some magic into its mouth!","¡¿Entonces, le lanzo magia hacia la boca?!"
"Está indo em direção à biblioteca!","It's heading toward the library!","¡Se dirige hacia la biblioteca!"
"Não! A Yonah tá lá!","No! That's where Yonah is!","¡No! ¡Ahí es donde está Yonah!"
"Essa besta vai te esmagar!","That beast will crush you to a paste!","¡Esa bestia te hará papilla!"
"Eu não me importo! Tenho que salvar Yonah!","I don't care—I have to save Yonah!","No me importa, ¡tengo que salvar a Yonah!"
"Oh, céus... Está se movendo!","Oh, dear... It's moving!",
"Você deixou sua força em sua outra peça de roupa íntima!?","Did you leave your strength in your other pair of undergarments!?","¡¿Te has dejado la fuerza en tu ropa interior de repuesto?!"
"Cala boca, babaca! Eu tô focando nisso!","Shut up, asshat! I'm workin' on it!","¡Calla ya, caraculo! ¡Estoy en ello!"
"Não podemos deixá-lo chegar na biblioteca!","We can't let him get to the library!","¡No podemos permitir que llegue a la biblioteca!"
"Suba o mais rápido que puder!","Climb as fast as you can!","¡Sube todo lo rápido que puedas!"
"Ei! Volta aqui!","Hey! Get back here!","¡Eh! ¡Vuelve aquí!"
"Temos que detê-lo!","We have to stop him!","¡Tenemos que detenerlo!"
"Volte, seu tolo! Não é hora de fugir!","Turn around, fool! This is no time to flee!","¡Date la vuelta, estúpido! ¡No es momento para huir!"
"Vamos começar eliminando as distrações próximas.","Let us start by dispatching the nearby distractions.","Empecemos haciéndonos cargo de las distracciones cercanas."
"Eu não posso usar minha magia...","I can't use my magic...","No puedo usar mi magia..."
"O demônio roubou os Versos Selados!","The fiend has stolen the Sealed Verses!","¡Ese engendro ha robado los Versos sellados!"
"Eu os pegarei de volta, Weiss!","I'll get them back, Weiss!","¡Los recuperaré, Weiss!"
"Recuperamos meus poderes!","We have reclaimed my powers!","¡Hemos recuperado mis poderes!"
"Lá vem ele! Fique para trás!","Here it comes! Stay back!","¡Aquí viene! ¡Mantén la distancia!"
"Não posso correr agora.","I can't run now.","No puedo irme ahora."
"Se eu sair agora, os aldeões serão massacrados.","If I leave now, the villagers will be slaughtered.","Si me voy, harán una carnicería con los aldeanos."
"Meu Deus! O telhado está prestes a desabar!","Good heavens! The roof is about to collapse!","¡Santo cielo! ¡El techo está a punto de derrumbarse!"
"Ho, Ho! Precisarão de mais do que isso para nos fazer recuar!","Oh ho! It will take more than that to make us flinch!","¡Jo, jo! ¡Hace falta algo más que eso para asustarnos!"
"E aí. Como você está?","Hey there. How you doing?","Buenas. ¿Cómo te va?"
"Ora, como você é animado!","Well, aren't you a lively one!","¡Anda, pero mira que eres vivaz!"
"Passe aqui numa próxima, quando estiver mais tranquilo!","Stop by next time you're free!","¡Pásate por aquí cuando tengas un rato!"
"Diga ""oi"" para Yonah por mim!","Say hi to Yonah for me!","¡Saluda a Yonah de mi parte!"
"Ah, olá.","Oh, hello there.","Eh, buenas."
"O clima está maravilhoso hoje!","We've got beautiful weather today!","¡Vaya día tan bueno hace hoy!"
"As coisas têm sido meio loucas ultimamente.","Things have been kind of crazy lately.","Las cosas se han salido de madre últimamente."
"Temos alguns itens adoráveis hoje.","We have some lovely items today.","Hoy tenemos unos artículos estupendos."
"E aí. Como vai?","Hey. How's it going?","Eh. ¿Cómo va todo?"
"Eu realmente espero que Yonah melhore.","I sure hope Yonah gets better.","Espero que Yonah se mejore."
"Melhor eu ir trabalhar.","I'd better get to work.","Será mejor que vuelva al trabajo."
"Hmmmm... O que devo fazer para o almoço?","Hmmmm... What should I make for lunch?","Mmm... ¿Qué puedo hacer de comer?"
"Como cê tá?","How ya doin'?","¿Cómo andamos?"
"Caramba, hoje tá frio!","Damn, it's cold today!","¡Maldita sea, menudo frío hace hoy!"
"Indo fazer mais trabalho para Popola?","Off to do more work for Popola?","¿Haciendo más tareas para Popola?"
"Ah! Como está Yonah?","Oh! How's Yonah doing?","¡Ey! ¿Qué tal está Yonah?"
"E aí, filhão, como você está hoje?","Hey there, sonny, how are you today?","Hola, hijo. ¿Qué tal estás?"
"Ouvi dizer que eles têm legumes com desconto hoje.","I heard they've got discount vegetables today.","He oído que las verduras tienen descuento hoy."
"Graças a Deus tenho saúde!","Thank goodness I have my health!",
"Como está Yonah?","How's Yonah doing?","¿Cómo le va a Yonah?"
"Olá, querida.","Hey, darling.","Hola, cariño."
"Está bem? Bom, bom...","Are you well? Good, good...","¿Estás bien? Estupendo, estupendo..."
"Estou indo comprar algumas coisas para o jantar.","I'm off to get some groceries for dinner.","Voy a por comida para hacer la cena."
"Viver com filho e esposa pode ser estressante!","Living with your son and his wife can be stressful!","¡Vivir con un hijo y su esposa puede ser muy estresante!"
"Minha mãe está me chamando.","My mom's callin' for me.",
"Ei! Você é velho demais para correr por aí desse jeito!","Hey! You're too old to run around like that!",
"O que será que vai ter no jantar...","I wonder what's for dinner...","Me pregunto qué habrá de cenar..."
"Vamos brincar nas planícies do norte!","Let's go play in the northern plains!","¡Vamos a jugar a las llanuras del norte!"
"O Rabisco Negro chegou na nossa aldeia?","The Black Scrawl's in our village now?","¿La necrosis rúnica ha llegado a nuestra aldea?"
"Me avise se eu puder ajudar, tudo bem?","Just let me know if I can help, all right?","Si puedo echarte una mano, dímelo, ¿vale?"
"Isso não é justo. Ela é tão jovem. Tem toda uma vida pela frente...","It's not fair. She's so young. Her whole life is ahead of her...","No es justo. Es tan joven, con toda la vida por delante..."
"Yonah está bem?","Is Yonah okay?","¿Está bien Yonah?"
"Essa pobre garota...","That poor girl...","Pobre chica..."
"Ultimamente só recebemos más notícias!","It seems like nothing but bad news lately!","¡Parece que últimamente solo hay malas noticias!"
"Esta aldeia acabou.","This village is done for.","Esta aldea está acabada."
"Você traz morte para esta aldeia!","You bring death to this village!","¡Tú has traído la muerte a esta aldea!"
"Essas malditas Sombras...","Those damn Shades...","Esas malditas Sombras..."
"Saia daqui! Você é um agente das Sombras!","Get out of here! You're an agent of the Shades!","¡Fuera de aquí! ¡Eres una espía de las Sombras!"
"Vá embora! Nós não vamos sair!","Go away! We're not coming out!","¡Vete! ¡No vamos a salir!"
"Tantos lugares pra nascer e eu vim parar logo aqui...","Why did I have to be born here, of all places...","Por qué tuve que nacer justamente aquí..."
"Eu nunca mais vou sair! Nunca!","I'm never coming out! Ever!","¡No voy a salir! ¡Jamás!"
"Não aguento mais...","I can't take it anymore...","No puedo más..."
"Deixe nossa aldeia imediatamente!","Leave our village at once!","¡Vete de nuestra aldea ahora mismo!"
"Não tragam Kainé para essa aldeia!","Kainé must not be brought to the village!","¡Kainé no debe entrar en la aldea!"
"Saia antes que se machuque!","Leave before you get hurt!","¡Vete antes de que te hagan daño!"
"Ah, não existe motivo para seguirmos em frente...","Oh, there's no reason to go on...","Bueno, no hay motivos para seguir..."
"...Está escuro aqui.","...It's dark in here.","Está oscuro..."
"Ai! Dói, mãe! Dói!","Ow! It hurts, Mom! It hurts!","¡Ay! ¡Me duele, mamá! ¡Me duele!"
"Acabou... Tudo acabou...","It's over... It's all over...","Se acabó... Todo se acabó..."
"Eu nunca pensei que veria um monstro desses...","I never dreamed I'd see such a monster...","Ni en sueños pensaba que vería un monstruo así..."
"Foi a Kainé! Aquele demônio atraiu a Sombra aqui!","It's Kainé! That fiend lured the Shade here!","¡Es Kainé! ¡Esa desalmada atrajo a la Sombra hasta aquí!"
"Kainé é uma boa pessoa, depois de você se habituar a tanta... estranheza.","Kainé's a good person, once you get through all the...weirdness.","Kainé es buena persona, bajo toda esa... rareza."
"Bom ver que essas pessoas são sempre positivas.","Good to see these people are as positive as always.","Veo que esta gente sigue siendo tan positiva como de costumbre."
"Socorro! Alguém me tire daqui!","Help! Someone get me out of here!","¡Socorro! ¡Que alguien me saque de aquí!"
"Alguém... Por favor...","Somebody... Anybody...","Alguien... Quien sea..."
"A pesca tem sido bem boa ultimamente.","The fishin's been pretty good lately.","Últimamente, la pesca va bastante bien."
"Espero que esteja com fome, criança. Os frutos do mar daqui são de primeira!","Hope you're hungry, kid. The seafood here is top-notch!","Espero que tengas hambre, chaval. ¡Aquí el marisco es de primera!"
"Ufa! Só vou descansar um pouquinho antes de pescar de novo.","Whew! Lemme rest a sec before fishing again.","¡Uf! Voy a descansar un ratito antes de volver a pescar."
"O que acha? Algo te deixou impressionado?","What do you think? Anything strike your fancy?","¿Qué te parece? ¿Algo que te llame la atención?"
"ONDE FOI que meu marido se meteu?","Where DID that husband of mine wander off to?","¿Se puede saber dónde se ha metido mi marido?"
"Aproximem-se! Muitas novidades, chegaram fresquinhas hoje!","Step right up! Lots of new stuff, arrived fresh today!","¡Acércate! ¡Tenemos mucho género nuevo y fresco del día!"
"O mar está calmo agora; é a melhor hora para lançar a linha.","The sea is calm right now; that's the best time to dip your line.","El mar está en calma ahora; es el mejor momento para lanzar el sedal."
"Um livro que fala? Bom, isso eu nunca vi!","A talking book? Well, I never!","¿Un libro parlante? ¡Habrase visto!"
"Minha esposa fez um almoço gostoso para mim, mas o deixei no balcão.","My wife made me a nice lunch, but I left it on the counter.","Mi mujer me preparó un buen almuerzo, pero me lo he dejado en la encimera."
"Nesta cidade, praticamente todo homem tem um barco de pesca.","In this city, practically every man owns a fishing boat.","En esta ciudad, prácticamente todos los hombres tienen una barca de pesca."
"Certo, tô indo.","All right, I'm off.","Vale, nos vemos."
"Olha, isso aqui é dinheiro demais.","Look, this is just too much money.","Mira, es demasiado dinero."
"Você encontrará muitos homens inúteis naquele bar.","You'll find lots of worthless men in that bar.","Encontrarás un montón de inútiles en ese bar."
"Realmente, tem muitas focas por aqui.","There sure are a lot of seals around here.","Seguro que hay un montón de focas por aquí."
"Pai! Você esqueceu seu almoço!","Father! You forgot your lunch!","¡Papá! ¡Te olvidaste el almuerzo!"
"Ha ha! Não vemos marinheiros inexperientes com muita frequência por aqui.","Ha ha! You don't see landlubbers around here very often.","¡Ja, ja! No se ven muchos marineros de agua dulce por aquí."
"Até um velho como eu pode pegar um peixe na linha hoje!","Even an old man like me could get a fish on the line today!","¡Hasta un viejo como yo puede pescar algo un día como hoy!"
"O terceiro suporte da ponte é o melhor lugar, então...","The third bridge support is where the hot spot is, so...","En el soporte del tercer puente es donde está toda la acción, así que..."
"E aí? Como está indo a pesca?","Well? How's the fishing going?","¿Y bien? ¿Cómo va la pesca?"
"A Yonah está bem?","Is Yonah doing well?","¿Qué tal está Yonah?"
"Peixe é ótimo para a saúde, mas você não deve exagerar.","Fish is great for your health, but you don't wanna overdo it.","El pescado es estupendo para la salud, pero los excesos nunca son buenos."
"Olá, queridinho. Que dia bonito o de hoje.","Hello, dearie. It's such a lovely day today.","Hola, querido. Hace un día espléndido."
"Um estranho, é? Algo raro nos dias de hoje...","An outsider, eh? Pretty rare these days...","Vaya, un extranjero. No se ven muchos hoy en día..."
"As focas são os espíritos guardiões da nossa cidade. Precisamos tratá-las bem.","The seals are the guardian spirits of our town. We need to treat them well.","Los sellos son los espíritus guardianes de la ciudad. Debemos respetarlos."
"Ei, olha! Estranhos!","Hey, look! Strangers!","¡Aaah! ¡Forasteros!"
"Aquela velha senhora do farol é um verdadeiro incômodo.","That old lady in the lighthouse is a real pain.","Esa anciana del faro es un auténtico incordio."
"Não é como se pudéssemos esconder isso sempre...","It's not like we can keep it hidden forever...","Como si pudiéramos mantener el secreto para siempre..."
"Ahn? A senhora do farol? Ela é uma velha malvada e briguenta, isso sim!","Huh? The lighthouse lady? She's a mean ol' battle axe, that one!","¿La anciana del faro dices? ¡Menuda arpía está hecha esa vieja!"
"É melhor se cuidar perto daquela velha senhora do farol.","You better watch yourself around that old lighthouse lady.","Ándate con ojo si vas a ver a esa anciana del faro."
"Ugh! Por que todos os homens têm que ser tão... Ah, esqueça.","Ugh! Why do all men have to be so... Er, never mind.","¡Agh! ¿Por qué todos los hombres tienen que ser tan...? Ah, es igual."
"(As regras de Facade devem ser seguidas a todo custo.)","(The rules of Facade must be followed at all costs.)","(Las reglas de Fachada han de cumplirse cueste lo que cueste)."
"(Oh! Fyra! Que adorável vê-la novamente!)","(Oh! Fyra! How lovely to see you again!)","(¡Oh, Fyra! Me alegro de volver a verte)."
"(Temos uma extensa seleção de produtos finos.)","(We have a wide selection of fine merchandise.)","(Tenemos una amplia selección de productos de calidad)."
