"Controles","Pressione {01C280} para atacar e {01C298} para defender.","Controls","Press {01C280} to attack and {01C298} to defend.","Controles","Pulsa {01C280} para atacar y {01C298} para defender."
,"Adiante jaz um sonho profundo, um passado sombrio e uma bela tragédia...<LF>Mergulhar nas memórias de Kainé?<LF><LF><ALT=-1,<CB=EID_3200_a0015_01>>Sim</ALT><LF><@ALT=-1,<CB=EID_3200_Novel_Skip>>Não</ALT>",,"Ahead lies a deep dream, a dark past, and a beautiful tragedy...<LF>Delve into Kainé's memories?<LF><LF><ALT=-1,<CB=EID_3200_a0015_01>>Yes</ALT><LF><@ALT=-1,<CB=EID_3200_Novel_Skip>>No</ALT>",,"A continuación yacen un sueño profundo, un pasado oscuro y una hermosa tragedia...<LF>¿Quieres adentrarte en los recuerdos de Kainé?<LF><LF><ALT=-1,<CB=EID_3200_a0015_01>>Sí</ALT><LF><@ALT=-1,<CB=EID_3200_Novel_Skip>>No</ALT>"
,"Selecione o jogador que deseja excluir.",,"Select the player you wish to delete.",,"Selecciona al jugador que quieras eliminar."
,"Tem certeza?<LF><LF><ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT>",,"Are you sure?<LF><LF><ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT>",,"¿Seguro?<LF><LF><ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT>"
,"Você digitou o nome incorreto.<LF>Gostaria de tentar novamente?<LF><LF><ALT=-1,<CB=Input_Name_Sequence>>Sim</ALT><LF><ALT=-1,<CB=Input_Name_Sequence_Failed>>Não</ALT>",,"You did not input the correct name.<LF>Would you like to try again?<LF><LF><ALT=-1,<CB=Input_Name_Sequence>>Yes</ALT><LF><ALT=-1,<CB=Input_Name_Sequence_Failed>>No</ALT>",,"No has introducido el nombre correcto.<LF>¿Quieres intentarlo de nuevo?<LF><LF><ALT=-1,<CB=Input_Name_Sequence>>Sí</ALT><LF><ALT=-1,<CB=Input_Name_Sequence_Failed>>No</ALT>"
,"Todos os dados NIER salvos no mesmo perfil de jogador serão excluídos,<LF>portanto, só é possível escolher esta opção uma vez.<LF>Deseja continuar mesmo assim?<LF><LF><ALT>Sim</ALT><LF><ALT>Não</ALT>",,"All NIER save data on the same gamer profile will be erased, <LF>so you can only choose this option once.<LF>Are you really sure about this?<LF><LF><ALT>Yes</ALT><LF><ALT>No</ALT>",,"Los datos de NIER guardados en el mismo perfil de jugador serán eliminados,<LF>así que solo puedes seleccionar esta opción una vez.<LF>¿Seguro que quieres continuar?<LF><LF><ALT>Sí</ALT><LF><ALT>No</ALT>"
,"Este é o sonho de uma besta.<LF>O registro de uma tragédia.<LF>Um pecado indelével.<LF>Entrar na memória de Emil?<LF><LF><ALT=-1,<CB=EID_4430_a0090_NovelStert>>Sim</ALT><LF><ALT=-1,<CB=EID_4430_a0090_NovelSkip>>Não</ALT>",,"It is a dream of a beast.<LF>A record of tragedy.<LF>An indelible sin.<LF>Enter Emil's memory?<LF><LF><ALT=-1,<CB=EID_4430_a0090_NovelStert>>Yes</ALT><LF><ALT=-1,<CB=EID_4430_a0090_NovelSkip>>No</ALT>",,"Es el sueño de una bestia.<LF>El registro de una tragedia.<LF>Un pecado imborrable.<LF>¿Entrar en el recuerdo de Emil?<LF><LF><ALT=-1,<CB=EID_4430_a0090_NovelStert>>Sí</ALT><LF><ALT=-1,<CB=EID_4430_a0090_NovelSkip>>No</ALT>"
,"Este é um sonho solitário.<LF>Um triste milagre.<LF>Uma promessa inesquecível.<LF>Entrar na memória de Emil?<LF><LF><ALT=-1,<CB=EID_6000_a0135_NovelStert>>Sim</ALT><LF><ALT=-1,<CB=EID_6000_a0135_NovelSkip>>Não</ALT>",,"It is a dream of solitude.<LF>A cheerless miracle.<LF>An unforgettable promise.<LF>Enter Emil's memory?<LF><LF><ALT=-1,<CB=EID_6000_a0135_NovelStert>>Yes</ALT><LF><ALT=-1,<CB=EID_6000_a0135_NovelSkip>>No</ALT>",,"Es un sueño de soledad.<LF>Un milagro sin alegría.<LF>Una promesa inolvidable.<LF>¿Entrar en el recuerdo de Emil?<LF><LF><ALT=-1,<CB=EID_6000_a0135_NovelStert>>Sí</ALT><LF><ALT=-1,<CB=EID_6000_a0135_NovelSkip>>No</ALT>"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"Ouro obtido: <NUM>",,"Obtained <NUM> gold.",,"Has obtenido <NUM> de oro."
,"Você obteve <ITEM>.",,"Obtained <ITEM>.",,"Has obtenido <ITEM>."
"Palavra Obtida","A palavra ""<TEXT>"" foi obtida.","Word Obtained","Obtained the word ""<TEXT>"".","Palabra obtenida","Has obtenido la palabra ""<TEXT>""."
"Tutorial Obtido","Você desbloqueou o tutorial ""<INFO_TITLE>"".","Tutorial Obtained","You unlocked the ""<INFO_TITLE>"" tutorial.","Tutorial obtenido","Has desbloqueado el tutorial ""<INFO_TITLE>""."
,"Você entregou <ITEM>.",,"You handed over the <ITEM>.",,"Has entregado <ITEM>."
"Limite de Inventário","Não é possível carregar mais nada.","Inventory Limit","You can't carry any more.","Límite de inventario","No puedes llevar más."
,"Você ganhou <NUM> pontos de experiência.",,"You earned <NUM> experience points.",,"Has ganado <NUM> puntos de experiencia."
"Resultados","Assassinatos: <NUM> Ouro obtido: <NUM>!","Results","Slain: <NUM>　You got <NUM> gold!","Resultados","Asesinatos: <NUM>　¡Has obtenido <NUM> de oro!"
,,,,,
,,,,,
,,,,,
"Resultados da Pesca","Nem mesmo uma mordida!","Fishing Results","Not even a nibble!","Resultados de pesca","¡Con esto no tienes ni para empezar!"
"Resultados da Pesca","... sua isca foi comida!","Fishing Results","...Your bait was eaten!","Resultados de pesca","Se han comido tu anzuelo..."
"Resultados da Pesca","Você pescou uma planta aquática!","Fishing Results","You landed an aquatic plant!","Resultados de pesca","¡Has pescado una planta acuática!"
"Resultados da Pesca","Você pescou um galho de árvore!","Fishing Results","You landed an old branch!","Resultados de pesca","¡Has pescado una rama de árbol!"
"Resultados da Pesca","Você pescou um balde enferrujado!","Fishing Results","You landed a rusty bucket!","Resultados de pesca","¡Has pescado un cubo oxidado!"
"Resultados da Pesca","Você pescou uma lata vazia!","Fishing Results","You landed an empty can!","Resultados de pesca","¡Has pescado una lata vacía!"
"Resultados da Pesca","Você pescou uma pilha de ferrugem!","Fishing Results","You landed a rusted clump!","Resultados de pesca","¡Has pescado una pila de óxido!"
"Resultados da Pesca","Você pescou uma Sardinha!","Fishing Results","You landed a sardine!","Resultados de pesca","¡Has pescado una sardina!"
"Resultados da Pesca","Você pescou um Baiacu!","Fishing Results","You landed a blowfish!","Resultados de pesca","¡Has pescado un pez globo!"
"Resultados da Pesca","Você pescou uma Brema!","Fishing Results","You landed a bream!","Resultados de pesca","¡Has pescado un besugo!"
"Resultados da Pesca","Você pescou um Tubarão!","Fishing Results","You landed a shark!","Resultados de pesca","¡Has pescado un tiburón!"
"Resultados da Pesca","Você pescou um Marlim Azul!","Fishing Results","You landed a blue marlin!","Resultados de pesca","¡Has pescado una aguja azul!"
"Resultados da Pesca","Você pescou um Dunkleosteus!","Fishing Results","You landed a dunkleosteus!","Resultados de pesca","¡Has pescado un dunkleosteus!"
"Resultados da Pesca","Você pescou uma Carpa!","Fishing Results","You landed a carp!","Resultados de pesca","¡Has pescado una carpa!"
"Resultados da Pesca","Você pescou uma Truta Arco-Íris!","Fishing Results","You landed a rainbow trout!","Resultados de pesca","¡Has pescado una trucha arcoíris!"
"Resultados da Pesca","Você pescou um Achigã!","Fishing Results","You landed a black bass!","Resultados de pesca","¡Has pescado una lubina!"
"Resultados da Pesca","Você pescou um Bagre Gigante!","Fishing Results","You landed a giant catfish!","Resultados de pesca","¡Has pescado un pez gato gigante!"
"Resultados da Pesca","Você pescou um Peixe Real!","Fishing Results","You landed a royal fish!","Resultados de pesca","¡Has pescado un pez real!"
"Resultados da Pesca","Você pescou uma Hyneria!","Fishing Results","You landed a hyneria!","Resultados de pesca","¡Has pescado una hyneria!"
"Resultados da Pesca","Você pescou um Peixe-Areia!","Fishing Results","You landed a sandfish!","Resultados de pesca","¡Has pescado un pez de arena!"
"Resultados da Pesca","Você pescou um Rizodonte!","Fishing Results","You landed a rhizodont!","Resultados de pesca","¡Has pescado un rizodóntido!"
"Novo Recorde!","Você estabeleceu um novo recorde de tamanho! <TEXT><LF>NOVO! <DEC_1> → <DEC_1> (polegadas)<LF><LF>Você estabeleceu um novo recorde de peso! <TEXT>!<LF>NOVO! <DEC_1> → <DEC_1> (libras)","New Record!","You set a new <TEXT> size record!<LF>NEW!   <DEC_1> → <DEC_1>  (in.)<LF><LF>You set a new <TEXT> weight record!<LF>NEW!   <DEC_1> → <DEC_1>  (lb.)","¡Nuevo récord!","¡Has logrado un nuevo récord de tamaño <TEXT>!<LF>¡NUEVO!   <DEC_1> → <DEC_1>  (centímetros)<LF><LF>¡Has logrado un nuevo récord de peso <TEXT>!<LF>¡NUEVO!   <DEC_1> → <DEC_1>  (kilogramos)"
"Novo Recorde!","Você estabeleceu um novo recorde de tamanho! <TEXT>!<LF>NOVO! <DEC_1> → <DEC_1> (polegadas)<LF><LF>Mas você não estabeleceu um novo recorde de peso.<LF>Este peixe: <DEC_1> Pontuação máxima: <DEC_1> (libras)","New Record!","You set a new <TEXT> size record!<LF>NEW!   <DEC_1> → <DEC_1>  (in.)<LF><LF>But you did not set a new weight record.<LF>This fish: <DEC_1>   High score: <DEC_1>  (lb.)","¡Nuevo récord!","¡Has logrado un nuevo récord de tamaño <TEXT>!<LF>¡NUEVO!   <DEC_1> → <DEC_1>  (centímetros)<LF><LF>Pero no has logrado un nuevo récord de peso.<LF>Este pez: <DEC_1>   Récord: <DEC_1>  (kilogramos)"
"Novo Recorde!","Você estabeleceu um novo recorde de peso! <TEXT>!<LF>NOVO! <DEC_1> → <DEC_1> (libras)<LF><LF>Mas você não estabeleceu um novo recorde de tamanho.<LF>Este peixe: <DEC_1> Pontuação máxima: <DEC_1> (polegadas)","New Record!","You set a new <TEXT> weight record!<LF>NEW!   <DEC_1> → <DEC_1>  (lb.)<LF><LF>But you did not set a new size record.<LF>This fish: <DEC_1>   High score: <DEC_1>  (in.)","¡Nuevo récord!","¡Has logrado un nuevo récord de peso <TEXT>!<LF>¡NUEVO!   <DEC_1> → <DEC_1>  (kilogramos)<LF><LF>Pero no has logrado un nuevo récord de tamaño.<LF>Este pez: <DEC_1>   Récord: <DEC_1>  (centímetros)"
,"Você não tem iscas.",,"You have no bait.",,"No tienes cebo."
,"Você pescou algo interessante, mas seu inventário está cheio e você teve que devolvê-lo.",,"You landed a nice catch, but your inventory's full, so you had to release it.",,"Has pescado algo interesante, pero tienes el inventario lleno y has tenido que soltarlo."
,"Você não tem nada para plantar.",,"You have nothing to plant.",,"No tienes nada que puedas plantar."
,"Você não tem nada para usar como fertilizante.",,"You have nothing to use as fertilizer.",,"No tienes nada que puedas usar como fertilizante."
"Resultados da Pesca","Você pescou um Peixe Xamã!","Fishing Results","You landed a shaman fish!","Resultados de pesca","¡Has pescado un pez chamán!"
"Resultados da Pesca","O peixe escapou...","Fishing Results","The fish got away...","Resultados de pesca","El pez se ha escapado..."
"Resultados da Pesca","Você não estabeleceu nenhum novo recorde. <TEXT>.<LF><LF>Tamanho: <DEC_1> Pontuação máxima: <DEC_1> (polegadas)<LF>Peso: <DEC_1> Pontuação máxima: <DEC_1> (libras)","Fishing Results","You did not set any new <TEXT> records.<LF><LF>Size: <DEC_1>   High score: <DEC_1>  (in.)<LF>Weight: <DEC_1>   High score: <DEC_1>  (lb.)","Resultados de pesca","No has logrado ningún récord nuevo <TEXT>.<LF><LF>Tamaño: <DEC_1>   Récord: <DEC_1>  (centímetros)<LF>Peso: <DEC_1>   Récord: <DEC_1>  (kilogramos)"
,,,,,
,,,,,
,,,,,
,"Você colheu <ITEM>!",,"Harvested <ITEM>!",,"¡Has cosechado <ITEM>!"
,"Você já está usando fertilizantes!",,"You're already using fertilizer!",,"¡Ya estás usando fertilizante!"
,"Você já regou o suficiente!",,"You've already watered enough!",,"¡Ya has regado bastante!"
,"Tem certeza de que deseja descartar isso?<LF><LF><ALT=-1>Sim</ALT><LF><@ALT=-1>Não</ALT>",,"Are you sure you want to discard this?<LF><LF><ALT=-1>Yes</ALT><LF><@ALT=-1>No</ALT>",,"¿Seguro que quieres descartar esto?<LF><LF><ALT=-1>Sí</ALT><LF><@ALT=-1>No</ALT>"
,"O seguinte item não pôde ser colhido: <ITEM><LF>Venda ou descarte itens para abrir espaço para novos.",,"The following could not be harvested: <ITEM><LF>Sell or discard some to make room for more.",,"No has podido cosechar lo siguiente: <ITEM><LF>Vende o descarta objetos y deja espacio para otros nuevos."
,,,,,
,,,,,
,,,,,
,,,,,
"Aceitar a missão?","<ALT=-1,<CB=LIB_SET_FLAGON_SUBQUEST>>Sim</ALT><LF><ALT=-1,<CB=LIB_SUBQUEST_CANCEL>>Não</ALT>","Accept the quest?","<ALT=-1,<CB=LIB_SET_FLAGON_SUBQUEST>>Yes</ALT><LF><ALT=-1,<CB=LIB_SUBQUEST_CANCEL>>No</ALT>","¿Aceptar la misión?","<ALT=-1,<CB=LIB_SET_FLAGON_SUBQUEST>>Sí</ALT><LF><ALT=-1,<CB=LIB_SUBQUEST_CANCEL>>No</ALT>"
,"Você aceitou a missão ""<QUEST>"".",,"You accepted the quest ""<QUEST>"".",,"Has aceptado la misión ""<QUEST>""."
"Fazer desta sua missão principal?","<ALT=-1,<CB=LIB_SET_CURRENT_SUBQUEST>>Sim</ALT><LF><ALT=-1,<CB=LIB_SET_NEXT_TALK_SUBQUEST>>Não</ALT>","Make this your current quest?","<ALT=-1,<CB=LIB_SET_CURRENT_SUBQUEST>>Yes</ALT><LF><ALT=-1,<CB=LIB_SET_NEXT_TALK_SUBQUEST>>No</ALT>","¿Quieres convertirla en misión actual?","<ALT=-1,<CB=LIB_SET_CURRENT_SUBQUEST>>Sí</ALT><LF><ALT=-1,<CB=LIB_SET_NEXT_TALK_SUBQUEST>>No</ALT>"
,"Sua missão atual agora é ""<QUEST>"".",,"Your current quest is now ""<QUEST>"".",,"Tu misión actual ahora es ""<QUEST>""."
,"<SE=120023>Você completou a missão ""<QUEST>""!",,"<SE=120023>The quest ""<QUEST>"" is complete!",,"<SE=120023>¡Has completado la misión ""<QUEST>""!"
"Aceitar a missão?","<ALT=-1,<CB=LIB_SET_FLAGON_SUBQUEST>> Sim</ALT><LF><ALT=-1,<CB=LIB_SUBQUEST_CANCEL>>Não</ALT>","Accept the quest?","<ALT=-1,<CB=LIB_SET_FLAGON_SUBQUEST>>Yes</ALT><LF><ALT=-1,<CB=LIB_SUBQUEST_CANCEL>>No</ALT>","¿Aceptar la misión?","<ALT=-1,<CB=LIB_SET_FLAGON_SUBQUEST>>Sí</ALT><LF><ALT=-1,<CB=LIB_SUBQUEST_CANCEL>>No</ALT>"
,"Você aceitou a missão ""<QUEST>"".",,"You accepted the quest ""<QUEST>"".",,"Has aceptado la misión ""<QUEST>""."
"Sair de Facade?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1>Não</ALT>","Leave Facade?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1>No</ALT>","¿Salir de Fachada?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1>No</ALT>"
"Entrar em Facade?","<ALT=-1,<CB=JUMP_MAP_03>>Sim</ALT><LF><ALT=-1>Não</ALT>","Enter Facade?","<ALT=-1,<CB=JUMP_MAP_03>>Yes</ALT><LF><ALT=-1>No</ALT>","¿Entrar en Fachada?","<ALT=-1,<CB=JUMP_MAP_03>>Sí</ALT><LF><ALT=-1>No</ALT>"
"Sair da Floresta dos Mitos?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1>Não</ALT>","Leave the Forest of Myth?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1>No</ALT>","¿Salir del Bosque de las Leyendas?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1>No</ALT>"
"Entrar na Floresta dos Mitos?","<ALT=-1,<CB=JUMP_MAP_02>>Sim</ALT><LF><ALT=-1>Não</ALT>","Enter the Forest of Myth?","<ALT=-1,<CB=JUMP_MAP_02>>Yes</ALT><LF><ALT=-1>No</ALT>","¿Entrar en el Bosque de las Leyendas?","<ALT=-1,<CB=JUMP_MAP_02>>Sí</ALT><LF><ALT=-1>No</ALT>"
"Agora você pode usar as caixas de correio!","Agora você pode usar as caixas de correio para viajar para lugares que já visitou.","You can now use mailboxes!","You can use mailboxes to travel to previously-visited places.","¡Ahora puedes usar los buzones!","Ahora puedes usar los buzones para viajar a lugares que ya hayas visitado."
,"Está trancado.",,"It's locked.",,"No se abre."
"Level up!","<NIER> atingiu o nível <NUM>!","Level up!","<NIER> has reached level <NUM>!","¡Subida de nivel!","¡<NIER> ha alcanzado el nivel <NUM>!"
,"As seguintes ações são proibidas nesta sala:<LF><LF><TEXT><TEXT><TEXT><TEXT><TEXT><TEXT>",,"The following actions are prohibited in this room:<LF><LF><TEXT><TEXT><TEXT><TEXT><TEXT><TEXT>",,"En esta sala están prohibidas las siguientes acciones:<LF><LF><TEXT><TEXT><TEXT><TEXT><TEXT><TEXT>"
"Sair da vila de <NIER>?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>Não</ALT>","Exit <NIER>'s village?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>","¿Salir de la aldea de <NIER>?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>"
"Entrar na vila de <NIER>?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>Não</ALT>","Enter <NIER>'s village?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>","¿Entrar en la aldea de <NIER>?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>"
"Sair da vila de <NIER>?","<ALT=-1,<CB=JUMP_MAP_02>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_02>>Não</ALT>","Exit <NIER>'s village?","<ALT=-1,<CB=JUMP_MAP_02>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_02>>No</ALT>","¿Salir de la aldea de <NIER>?","<ALT=-1,<CB=JUMP_MAP_02>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_02>>No</ALT>"
"Entrar na vila de <NIER>?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>Não</ALT>","Enter <NIER>'s village?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>","¿Entrar en la aldea de <NIER>?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>"
"Sair da vila de <NIER>?","<ALT=-1,<CB=JUMP_MAP_03>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_03>>Não</ALT>","Exit <NIER>'s village?","<ALT=-1,<CB=JUMP_MAP_03>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_03>>No</ALT>","¿Salir de la aldea de <NIER>?","<ALT=-1,<CB=JUMP_MAP_03>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_03>>No</ALT>"
"Entrar na vila de <NIER>?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>Não</ALT>","Enter <NIER>'s village?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>","¿Entrar en la aldea de <NIER>?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>"
"Sair de Aerie?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>Não</ALT>","Exit The Aerie?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>","¿Salir de Nido del Águila?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>"
"Entrar em Aerie?","<ALT=-1,<CB=JUMP_MAP_04>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_04>>Não</ALT>","Enter The Aerie?","<ALT=-1,<CB=JUMP_MAP_04>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_04>>No</ALT>","¿Entrar en Nido del Águila?","<ALT=-1,<CB=JUMP_MAP_04>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_04>>No</ALT>"
"Sair de Beira-Mar?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>Não</ALT>","Exit Seafront?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>","¿Salir de Ciudad Costera?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>"
"Entrar em Beira-Mar?","<ALT=-1,<CB=JUMP_MAP_03>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_03>>Não</ALT>","Enter Seafront?","<ALT=-1,<CB=JUMP_MAP_03>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_03>>No</ALT>","¿Entrar en Ciudad Costera?","<ALT=-1,<CB=JUMP_MAP_03>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_03>>No</ALT>"
"Sair do Templo Árido?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>Não</ALT>","Exit the Barren Temple?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>","¿Salir del Templo Árido?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>"
"Continuar?","<ALT=-1,<CB=JUMP_MAP_02>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_02>>Não</ALT>","Proceed inside?","<ALT=-1,<CB=JUMP_MAP_02>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_02>>No</ALT>","¿Entrar?","<ALT=-1,<CB=JUMP_MAP_02>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_02>>No</ALT>"
"Retornar?","<ALT=-1,<CB=JUMP_MAP_01>>Sim</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>Não</ALT>","Turn back?","<ALT=-1,<CB=JUMP_MAP_01>>Yes</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>","¿Dar media vuelta?","<ALT=-1,<CB=JUMP_MAP_01>>Sí</ALT><LF><ALT=-1,<CB=CANCEL_JUMP_MAP_01>>No</ALT>"
"Você obteve um Verso Selado!","Magia <TEXT> obtida.","Obtained a Sealed Verse!","Obtained ""<TEXT>"" magic.","¡Has obtenido un Verso sellado!","Has obtenido el hechizo <TEXT>."
,"Um misterioso fragmento de pedra foi obtido.",,"Obtained a mysterious stone fragment.",,"Has obtenido un fragmento de piedra misterioso."
"Você obteve um fragmento.","Fragmento de chave ""Cerberus"" obtido.","Obtained a fragment.","Obtained the Loyal Cerberus key fragment.","Has obtenido un fragmento.","Has obtenido el fragmento de llave ""Cancerbero fiel""."
"Você obteve um fragmento.","Fragmento de chave ""Sacrifício"" obtido.","Obtained a fragment.","Obtained the Sacrifice key fragment.","Has obtenido un fragmento.","Has obtenido el fragmento de llave ""Sacrificio""."
"Obteve um fragmento.","Fragmento de chave ""Lei da Robótica"" obtido.","Obtained a fragment.","Obtained the Law of Robotics key fragment.","Has obtenido un fragmento.","Has obtenido el fragmento de llave ""La ley de la robótica""."
"Obteve um fragmento.","Fragmento de chave ""Árvore da Memória"" obtido.","Obtained a fragment.","Obtained the Memory Tree key fragment.","Has obtenido un fragmento.","Has obtenido el fragmento de llave ""El árbol de la memoria""."
,"Versos Selados coletados!",,"Sealed Verses collected!",,"¡Has obtenido Versos sellados!"
,"Uma carta para Popola foi obtida.",,"Obtained a letter for Popola.",,"Has obtenido una carta para Popola."
,"Uma carta para a velha senhora foi obtida.",,"Obtained a letter for the old woman.",,"Has obtenido una carta para la anciana."
,"Uma carta foi obtida.",,"Obtained a letter.",,"Has obtenido una carta."
,"Musgo Vaporizado obtido.",,"Obtained vapor moss.",,"Has obtenido musgo de vapor."
,"Você usou <TEXT>.",,"You used the <TEXT>.",,"Has usado <TEXT>."
"Sair da mansão do Rei?","<ALT=-1,<CB=JUMP_TOWN>>Sim</ALT><LF><ALT=-1>Não</ALT>","Leave the king's mansion?","<ALT=-1,<CB=JUMP_TOWN>>Yes</ALT><LF><ALT=-1>No</ALT>","¿Salir de la mansión del rey?","<ALT=-1,<CB=JUMP_TOWN>>Sí</ALT><LF><ALT=-1>No</ALT>"
"Entrar na mansão do Rei?","<ALT=-1,<CB=JUMP_ROYAL>>Sim</ALT><LF><ALT=-1>Não</ALT>","Enter the king's mansion?","<ALT=-1,<CB=JUMP_ROYAL>>Yes</ALT><LF><ALT=-1>No</ALT>","¿Entrar en la mansión del rey?","<ALT=-1,<CB=JUMP_ROYAL>>Sí</ALT><LF><ALT=-1>No</ALT>"
"Ir e aceitar essa missão?","<ALT=-1>Sim</ALT><LF><ALT=-1>Não</ALT>","Go and accept this quest?","<ALT=-1>Yes</ALT><LF><ALT=-1>No</ALT>","¿Aceptar y emprender esta misión?","<ALT=-1>Sí</ALT><LF><ALT=-1>No</ALT>"
"Aceitar essa missão?","<ALT=-1,<CB=Anser_Yes_Extra_Quest>>Sim</ALT><LF><ALT=-1,<CB=Anser_No_Extra_Quest>>Não</ALT>","Accept this quest?","<ALT=-1,<CB=Anser_Yes_Extra_Quest>>Yes</ALT><LF><ALT=-1,<CB=Anser_No_Extra_Quest>>No</ALT>","¿Aceptar esta misión?","<ALT=-1,<CB=Anser_Yes_Extra_Quest>>Sí</ALT><LF><ALT=-1,<CB=Anser_No_Extra_Quest>>No</ALT>"
,"Você desbloqueou o poço de areia de Facade.",,"You unlocked the Facade sandspout well.",,"Has desbloqueado el pozo de arena de Fachada."
,"Você desbloqueou o poço de areia da entrada do deserto.",,"You unlocked the Desert Entrance sandspout well.",,"Has desbloqueado el pozo de arena de la entrada al desierto."
,"Você desbloqueou o poço de areia do cemitério da Facade.",,"You unlocked the Facade Graveyard sandspout well.",,"Has desbloqueado el pozo de arena del cementerio de Fachada."
,"Você desbloqueou o poço de areia do Templo Árido.",,"You unlocked the Barren Temple sandspout well.",,"Has desbloqueado el pozo de arena del Templo Árido."
