"Salvar?","Save?","¿Guardar?"
,,
,,
"Nós estamos juntos desde que nascemos. Nós estamos juntos quando comemos, quando dormimos e quando sonhamos.","We've been together since we were born. We're together when we eat, when we sleep, and when we dream.","Llevamos juntas desde que nacimos. Estamos juntas cuando<LF>comemos, cuando dormimos y cuando soñamos."
"Nós dividimos tudo! Nós dividimos o leite que recebemos da Mamãe,<LF>e as coisas boas que Papai diz para nós.","We share everything! We share the milk we get from Mommy,<LF>and the nice things Daddy says to us.","¡Lo compartimos todo! Compartimos la leche con la que nos nutre mamá y las cosas bonitas que nos dice papá."
"Mas não estamos juntos quando morremos. Papai me pegou e cortou a minha cabeça, e Mamãe pegou minha irmã e cortou a cabeça dela.","But we're not together when we die. Daddy took me and cut off my head, and Mommy took my sister and cut off her head.","Pero no estamos juntas cuando morimos. Papá me cortó la cabeza,<LF>y mamá hizo lo propio con mi hermana."
"Mas tudo bem. Nosso sangue foi misturado em um grande machado, então agora podemos ficar juntos para sempre!","But it's okay. Our blood got all mushed up into a big axe, so now we can be together forever!","No pasa nada. Nuestra sangre se ha entremezclado en el filo del<LF>hacha, ¡así que ahora podemos estar juntas para siempre!"
"Havia uma reunião ritual de espíritos realizada na noite da décima lua cheia do ano. Durante a cerimônia, eles se reuniam às margens de um lago e se gabavam uns aos outros de todas as más ações que tinham praticado durante o ano.","There once was a ritual gathering of spirits held on the night of the tenth full moon of the year. During the ceremony, they would gather on the shores of a lake and boast to one another of all the evil deeds they had performed during the year.","Durante cierta época, en la décima noche de luna llena de cada año<LF>se celebraba un ritual de reunión de espíritus. Durante la<LF>ceremonia, se congregaban a la orilla de un lago y se jactaban <LF>entre sí de las brillantes mezquindades que habían llevado a cabo<LF>en los últimos trescientos sesenta y cinco días."
"O primeiro espírito sentiu grande alegria em contar sobre as formas inconcebivelmente cruéis como matou alguns dos melhores soldados da terra.<LF><LF>
Ao longo do ano, ela transformou sua forma em uma dama da noite e chamou vários homens, então arrancou cada pedaço de seus corpos quando chegaram à sua cama. Os soldados, envergonhados por suas habilidades não terem sido suficientes para salvá-los, derramaram lágrimas amargas enquanto morriam e o espírito afirmou que eram a coisa mais deliciosa que já provou.","The first spirit took great joy in telling of the unfathomably cruel ways she had killed some of the finest soldiers in the land.<LF><LF>Over the year, she had transformed her shape into a lady of the night and called out to various men, then tore off every last piece of their body when they came to her bed. The soldiers, ashamed their skills could not save them, shed bitter tears as they died, and the spirit claimed they were the most delicious thing she had ever tasted.","El primer espíritu se regocijó detallando la muerte cruel que habían<LF>sufrido en sus manos algunos de los mejores soldados de la región.<LF><LF>Ese año había adoptado la identidad de una mujer de la noche para<LF>llamar la atención de varios hombres a los que luego despedazó<LF>cuando se metieron en su cama. Los soldados, avergonzados de que<LF>sus aptitudes no fueran suficientes para salvarlos, morían con <LF>lágrimas amargas bañándoles los ojos. ""El manjar más delicioso<LF>que haya probado jamás"", dijo el espíritu."
"O próximo espírito animou os outros com uma história de astúcia e malícia.<LF><LF>Uma noite, ela jogou um menino pequeno em um pântano. Quando sua irmã mais velha veio resgatá-lo, ela também afundou na lama. Esses dois foram seguidos por seus pais, então outros irmãos, então parentes distantes, até que finalmente todos os membros da vila estavam dormindo no fundo do pântano.<LF><LF>Quando o espírito terminou sua história, ela estava tão feliz que nem percebeu a saliva que escorria pelo queixo.","The next spirit regaled the others with a story of cunning and guile.<LF><LF>One night, she threw a small boy into a bog. When his older sister came to rescue him, she, too, sank into the murk. These two were followed by their parents, then other siblings, then extended relatives, until finally every member of the village was sleeping at the bottom of the bog.<LF><LF>When the spirit finished her story, she was so beside herself with glee that she did not even notice the saliva that dripped down her chin.","El siguiente espíritu agasajó a los demás con una historia de ingenio<LF>y malicia.<LF><LF>Una noche, sumergió a un niño en un pantano. Cuando su hermana<LF>mayor llegó para rescatarlo, a ella también la sumergió en la<LF>ciénaga. Poco después llegaron los padres, luego otros hermanos,<LF>más adelante los familiares más lejanos, y así hasta que,<LF>finalmente, todos los habitantes de la aldea terminaron durmiendo<LF>en el fondo de la marisma."
"Nervosamente, o espírito mais pequeno do grupo deu um passo à frente para se dirigir à multidão.<LF><LF>""Eu sou o mais incrível de todos nós!"" gritou o espírito frequentemente ridicularizado com todas as suas forças. ""Porque fui eu quem jogou todas as criaturas vivas nas profundezas mais assustadoras do terror!""<LF><LF>Os outros espíritos, incapazes de conter seu riso, caíram no chão e rolaram - e seu riso não cessou até que o horrível monstro que o pequeno espírito havia convocado do mundo dos demônios devorasse todos eles.","Nervously, the smallest spirit in the group stepped forward to address the crowd.<LF><LF>""I am the most amazing of us all!"" cried the oft-ridiculed spirit at the top of her lungs. ""For it was I who thrust all living creatures into terror's deepest depths!""<LF><LF>The other spirits, unable to contain their mirth, collapsed to the ground and rolled about—and their laughter did not cease until the horrifying monster the small spirit had summoned from the demon world devoured each and every last one of them.","Nervioso, el espíritu más diminuto del grupo dio un paso al frente para dirigirse a la multitud.<LF><LF>""¡Soy el más increíble de los presentes!"", exclamó con todas sus fuerzas el pequeño, acostumbrado a las críticas. ""Pues yo empujo a todas las criaturas con vida a las aterradoras profundidades"".<LF><LF>Los demás espíritus, incapaces de contener la risa, se tiraron al suelo y se revolcaron. Las carcajadas no cesaron hasta que el terrible monstruo que había invocado el pequeño espíritu desde el inframundo, los devoró a todos y cada uno."
"A menina encara a cena diante dela.<LF><LF>Seu pai está próximo, desmembrado por inúmeras lâminas. Sua mãe também está morrendo, assim como seu irmão recém-nascido. Todos sofreram terrivelmente em seus últimos momentos, e a menina não pode fazer nada além de chorar enquanto encara os três soldados que mataram sua única família.","The girl stares at the sight before her.<LF><LF>Her father lies nearby, carved to pieces by countless blades. Her mother also lies dying, as well as her newborn baby brother. All had suffered terribly in their final moments, and the girl can do nothing but cry as she stares at the three soldiers who have murdered her only family.","La niña observaba el panorama.<LF><LF>Su padre yacía a poca distancia, herido por decenas de cortes. Su<LF>madre también se encontraba en el lecho de muerte junto con su<LF>niño recién nacido. Todos habían sufrido muchísimo en sus<LF>últimos instantes de vida, y la pequeña solo podía llorar mientras<LF>fijaba la vista en los tres soldados que habían asesinado a su<LF>única familia."
"Anos depois, a garota reaparece, seu semblante fortalecido por sua promessa de vingança.<LF><LF>O primeiro soldado engordou tanto que os botões de seu uniforme mal conseguem conter sua circunferência. A garota se aproxima dele e afirma saber um jeito fácil de perder peso. Sob o pretexto de um exame, ela o faz deitar em uma cama antes de cortar seus braços e pernas com um machado. O pedaço restante do soldado grita e tenta se contorcer para longe, mas a garota o prende e diz que ele ainda tem partes que pode perder.<LF><LF>Algum tempo depois, a garota está sentada em frente ao torso agora arredondado e sorri. ""Pronto,"" ela sussurra. ""Olha como você está magrinho.""","Years later, the girl reappears, her visage made strong by her vow for revenge.<LF><LF>The first soldier has grown so fat that the buttons on his uniform can barely contain his girth. The girl approaches him and claims to know an easy way to lose weight. On the pretext of an examination, she has him lie down on a bed before suddenly hacking off his arms and legs with an axe. The remaining lump of soldier screams and attempts to wriggle away, but the girl pins him down and tells him he still has parts he can lose.<LF><LF>Some time later, the girl sits in front of the now-rounded torso and smiles. ""There we are,"" she whispers. ""Look how nice and slim you are.""","Años más tarde, la niña reapareció con una mirada más firme, decidida a obtener su venganza.<LF><LF>El primer soldado había engordado tanto que los botones del uniforme apenas lograban contenerle la panza. La joven se le acercó y aseguró conocer una forma fácil de perder peso. Con el pretexto de examinarlo, lo convenció para que se tumbara en una cama y le arrancó los brazos y las piernas de sendos hachazos. El soldado desprovisto de extremidades intentó huir retorciéndose, pero la chica lo retuvo y le recordó que todavía podía cortarle más partes del cuerpo.<LF><LF>Poco después, la chica se sentó ante el torso cercenado y le sonrió. ""Mírate"", susurró, ""Qué esbelto y delgado has quedado""."
"O segundo soldado é um galanteador sem igual; todas as noites, uma nova mulher é convidada para sua mansão para passar a noite. A garota invade sua casa e mata as mulheres ao seu lado, depois usa seu machado para cortar sua masculinidade enquanto ele treme e implora por misericórdia.","The second soldier is a peerless lothario; each night, a new woman is invited to his manor to spend the night. The girl breaks into his home and kills the women at his side, then uses her axe to hack off his manhood as he trembles and begs for mercy.","El segundo soldado era un galán empedernido: invitaba a una mujer<LF>diferente cada noche a su mansión para pasar la noche con ella. La<LF>niña irrumpió en su hogar y mató a las mujeres que lo<LF>acompañaban. Acto seguido, lo dejó sin miembro viril de un<LF>hachazo, tembloroso y pidiendo piedad."
"O terceiro soldado já deixou o serviço há muito tempo e agora vive uma vida tranquila com sua família em uma vila remota. Depois que eles caem no sono, a garota pega seu machado e corta as vigas de suporte da casa, fazendo-a desabar. Ela então põe fogo nos destroços, criando uma grande fogueira que pode ser vista por milhas em todas as direções.<LF><LF>De repente, o filho do soldado rasteja dos escombros, coberto da cabeça aos pés em queimaduras terríveis. Quando seus olhos caem sobre a garota que assassinou sua família, ela lhe entrega seu machado e foge para a escuridão da noite, nunca mais sendo vista novamente.","The third soldier has long since left the service, and is now living a quiet life with his family in a remote village. After they have fallen asleep, the girl takes her axe and cleaves the support beams of the house, causing it to collapse. She then sets fire to the wreckage, creating a great bonfire than can be seen for miles in all directions.<LF><LF>Suddenly, the soldier's son crawls from the wreckage, covered from head to toe in terrible burns. As his eyes fall on the girl who has murdered his family, she hands him her axe and flees into the dark of night, never to be seen again.","El tercer soldado había dejado de serlo tiempo atrás y vivía tranquilo con su familia en una aldea remota. Cuando todos se durmieron, la niña cogió el hacha y destrozó las vigas estructurales de la casa, lo que provocó que se derrumbara. Entonces, prendió fuego a los escombros, creando una pira que se veía a kilómetros en todas las direcciones.<LF><LF>De repente, el hijo del soldado escapó de entre los escombros cubierto de quemaduras y fijó la mirada en la chica que había asesinado a su familia. Esta le entregó su hacha, se perdió en la oscuridad de la noche y nunca se supo más de ella."
"Eu levanto o grito do meu nascimento.<LF><LF>O som do ferro quente tomando forma; um martelo de aço batendo na minha forma. Nascido para entregar justiça cármica, eu entro no mundo sob o cuidadoso olhar de faíscas e chamas que iluminam a escuridão.<LF><LF>Sou uma lâmina nascida de um rugido ensurdecedor. Sou uma arma. Sou Vontade de Ferro.","I raise the cry of my birth.<LF><LF>The sound of heated iron taking shape; a steel mallet striking my form. Born to deliver karmic justice, I enter the world under the careful watch of spark and flame that give light to the gloom.<LF><LF>I am a blade born of a deafening roar. I am a weapon. I am Iron Will.","Yo misma entono el grito de mi nacimiento.<LF><LF>El sonido del acero ardiente que toma forma, un mazo que adquiere mi figura. Mi sino es repartir justicia kármica, y accedo al mundo bajo la atenta mirada de la llama y la chispa que iluminan las tinieblas.<LF><LF>Soy una espada fruto de un rugido ensordecedor. Soy un arma. Soy Voluntad férrea."
"Eu concedo a morte.<LF><LF>Transformo o medo e os gritos dos meus inimigos em alegria. Enfeito minha pele de ferro com suas vísceras. Quando tiro a vida deles, sou preenchido com alegria sombria. Quando os esmago sob mim, encontro um significado em meu nascimento. E continuo matando, para que eu possa compartilhar essa delícia com todos.<LF><LF>Mato, e mato, e mato, e mato. Sou uma arma. Sou a Vontade de Ferro.","I grant death.<LF><LF>I transform the dread and screams of my foes to elation. I festoon my iron skin with their viscera. When I rob them of life, I am filled with dark joy. When I crush them beneath me, I find meaning in my birth. And I continue to kill, that I might share this delight with all.<LF><LF>I kill, and kill, and kill, and kill. I am a weapon. I am Iron Will.","Concedo la muerte.<LF><LF>Transformo el pavor y los alaridos de mis enemigos en júbilo.<LF>Engalano mi piel de acero con sus entrañas. Cuando les arrebato la<LF>vida, me lleno de un oscuro regocijo. Cuando los aplasto, mis<LF>orígenes cobran sentido. Sigo matando para compartir este<LF>deleite con todos.<LF><LF>Muerte, muerte y más muerte. Soy un arma. Soy Voluntad férrea."
"Estou destroçado.<LF><LF> Na batalha e no fim do sangue, meu corpo é despedaçado pela malícia e pelo ódio. Hoje, eu enfrento novamente o dragão vermelho em batalha, e forças mágicas encontram presas de ferro saltando para criar uma tempestade de sangue.<LF><LF>Minha espada amaldiçoada, afundo no negro adormecido. Eu sou uma arma.<LF>Sou a Vontade de Ferro.","I am shattered.<LF><LF>At battle and blood's end, my body is torn asunder by malice and hate. Today, I again engage the red dragon in battle, and magical forces meet leaping iron fangs to create a bloodstorm.<LF><LF>My steel cursed, I sink into the slumbering black. I am a weapon.<LF>I am Iron Will.","Estoy hecha trizas.<LF><LF>Al término de tanta batalla y sangre, mi cuerpo ha quedado hecho<LF>añicos por la malicia y el odio. Hoy vuelvo a invocar al dragón<LF>rojo en combate, y las fuerzas mágicas se enfrentan a las fauces de<LF>acero creando un baño de sangre.<LF><LF>Mi acero está maldito y me hundo en la oscuridad soñolienta. Soy<LF>Voluntad férrea."
"Eu sonho.<LF><LF>É o sonho de uma pequena borboleta. Nela, a borboleta é pega em uma chuva fraca, lutando contra ela com todas as suas forças.<LF><LF>Na mais escura das noites, contemplo um sonho que nunca se tornará realidade. Eu sou uma arma. Sou a Vontade de Ferro.","I dream.<LF><LF>It is the dream of a small butterfly. In it, the butterfly is caught in a light rain, struggling against it with all its might.<LF><LF>In the darkest of nights, I behold a dream that will never come true. I am a weapon. I am Iron Will.","Tengo un sueño.<LF><LF>Trata sobre una pequeña mariposa. En el sueño, el insecto alado se ve atrapado en una ligera lluvia contra la que lucha con todas sus fuerzas.<LF><LF>En las noches más oscuras, contemplo un sueño que nunca se hará realidad. Soy un arma. Soy Voluntad férrea."
"Eles eram um povo assustadoramente diligente.<LF><LF>Eles limpavam florestas e caçavam animais mesmo quando não tinham necessidade. Eles desenvolveram técnicas para preservar alimentos que não podiam comer e ganhavam mais dinheiro do que poderiam gastar. No entanto, não havia um único entre eles que não aceitasse essas práticas, pois nenhum conhecia outros costumes.","They were a frighteningly diligent people.<LF><LF>They would clear forests and hunt animals even when they had no need. They developed techniques to preserve food they were unable to eat, and earned more money than could ever be spent. Yet there was not a single one among them who did not accept these practices, for none knew of any other customs.","Era un grupo increíblemente diligente.<LF><LF>Arrasaban con bosques enteros y cazaban animales incluso cuando<LF>no les hacía falta. Desarrollaron técnicas para preservar la comida<LF>que no necesitaban comer y ganaron más dinero del que jamás<LF>podrían gastar. No obstante, no había uno solo que no aceptara<LF>estas prácticas, pues no sabían vivir de ninguna otra forma."
"Eles eram um povo assustadoramente estudioso.<LF><LF>Sua compreensão de cálculo e ciência excedia qualquer pretensão de praticidade, e eles repetidamente se envolviam em debates acalorados sobre previsões do futuro. Eles inventaram uma linguagem cada vez mais difícil e criaram uma série infinita de máquinas complexas que imediatamente descartavam. Mas não havia um único entre eles que olhasse para trás, pois nenhum deles conhecia qualquer razão para se preocupar.","They were a frighteningly studious people.<LF><LF>Their grasp of calculation and science exceeded any pretense of practicality, and they would repeatedly engage in spirited debates regarding predictions of the future. They invented an increasingly difficult language, and created an infinite series of complex machines which they would immediately discard. But there was not a single one among them who looked back, for none knew of any reason for concern.","Era un grupo increíblemente estudioso.<LF><LF>Sus capacidades científicas y de cálculo superaban cualquier pretensión de practicidad. Solían iniciar discusiones acaloradas prediciendo el futuro. Inventaron un idioma de dificultad cada vez mayor y crearon una cantidad infinita de máquinas complejas que descartaban de inmediato. Eso sí, ninguno de ellos echaba jamás la vista atrás, pues la preocupación no entraba en sus cabezas."
"Eles eram um povo assustadoramente obediente.<LF><LF>Sem nunca serem instruídos, eles saudavam o sol da manhã no mesmo horário, com as mesmas roupas, enquanto trabalhavam nas mesmas salas apertadas. No entanto, não havia nem um único entre eles que reclamasse, pois nenhum deles sabia o que mais deveriam estar fazendo.","They were a frighteningly obedient people.<LF><LF>Without ever being told, they would greet the morning sun at the same time, in the same clothes, while toiling away in the same cramped rooms. Yet there was not a single one among them who complained, for none knew what else they should be doing.","Era un grupo increíblemente obediente.<LF><LF>Sin que nadie los obligara, daban la bienvenida al sol todas las<LF>mañanas al mismo tiempo y con los mismos atuendos; y trabajaban<LF>duro en las mismas salas estrechas. Sin embargo, nadie se quejaba,<LF>pues no conocían ninguna otra forma de vida."
"Tendo trabalhado demais, o povo perdeu suas florestas e passou a viver em cima da areia.<LF><LF>Tendo se tornado muito inteligentes, o povo conversava em uma língua que nenhuma outra pessoa conseguia compreender.<LF><LF>Tendo se tornado muito bem-comportados, o povo não conseguia desafiar as leis que eram estabelecidas uma após a outra, e passou a viver suas vidas cercados por dezenas de milhares de regras.","Having worked far too much, the people lost their forests and took to living atop the sand.<LF><LF>Having grown far too intelligent, the people conversed in a language that no other peoples could comprehend.<LF><LF>Having grown far too well-behaved, the people were unable to defy the laws that would be established one after the other, and came to live their lives enclosed by tens of thousands of rules.","Tras mucho trabajar, el grupo dejó atrás el bosque y se marchó a vivir sobre arena.<LF><LF>La inteligencia que habían alcanzado les permitía conversar en un idioma que nadie más comprendía.<LF><LF>Debido a sus buenas maneras, ninguno se atrevía a desafiar las leyes y pasaron a vivir bajo el yugo de miles y miles de normas."
"Havia uma vez um guerreiro em uma nação fronteiriça que não temia a morte.<LF><LF>Ele era tão robusto e poderoso que diziam que as flechas saltavam inofensivamente de sua pele. Por esse motivo, o guerreiro sempre se lançava no meio de qualquer batalha.","There was once a warrior in a frontier nation who feared not death.<LF><LF>He was so brawny and powerful, arrows were said to bounce harmlessly off his flesh. For this reason, the warrior always threw himself into the thick of any battle.","Había una vez un guerrero en una nación fronteriza que no temía a la muerte.<LF><LF>Era tan fornido y poderoso que se decía que las flechas le rebotaban, inocuas, en la piel. Por este motivo, el guerrero no dudaba en lanzarse al fragor de la batalla."
"Um dia, um belo pássaro apareceu diante do guerreiro em um sonho.<LF><LF>O pássaro elogiou o guerreiro por sua coragem na batalha e ofereceu a ele uma de duas opções: o pássaro poderia acabar com a guerra e conceder a paz ao mundo ou o pássaro poderia conceder ao guerreiro um corpo imortal.<LF><LF>O guerreiro escolheu a imortalidade.","One day, a beautiful bird appeared before the warrior in a dream.<LF><LF>The bird commended the warrior for his valor in battle and offered to grant him one of two wishes: The bird could bring an end to war and grant peace to all the world, or the bird could bequeath the warrior an immortal body.<LF><LF>The warrior chose immortality.","Un día, al guerrero se le apareció un precioso pájaro en un sueño.<LF><LF>El ave alabó el valor del muchacho en combate y prometió otorgarle uno de estos dos deseos: el fin de las guerras y la paz en todo el mundo o un cuerpo inmortal.<LF><LF>El guerrero escogió la inmortalidad."
"A partir desse dia em diante, as façanhas do guerreiro não foram nada menos do que impressionantes. Ele derrubou inimigos em números incalculáveis; nenhuma quantidade de flechas, espadas ou machados poderia retardar sua marcha. O rei o presenteou com títulos e presentes, e por um tempo, parecia que os dias de glória impressionante do guerreiro continuarão até o fim dos tempos.","From that day forth, the warrior's exploits were nothing short of astonishing. He mowed down foes in uncountable numbers; no amount of arrows or swords or axes could slow his march. The king showered him with titles and gifts, and for a time, it seemed the warrior's days of stunning glory would continue until the end of time.","Desde aquel día, las hazañas del guerrero fueron totalmente<LF>heroicas. Masacró a innumerables enemigos, y no había flechas,<LF>espadas ni hachas capaces de aplacar su ritmo. El rey le otorgó<LF>títulos y obsequios y, durante un tiempo, parecía que los días<LF>de gloria del guerrero perdurarían para siempre."
"Mas o conflito não cessou. Eventualmente, a nação fronteiriça do guerreiro foi invadida tantas vezes que as chamas da guerra deixaram o país inteiro em ruínas. As colheitas murcharam. As pessoas pereceram. E logo não restou mais ninguém que conhecesse sequer o nome do guerreiro.<LF><LF>O guerreiro destroçado foi torturado dia e noite pela fome interminável, mas seu corpo se recusava a deixá-lo morrer. Então ele buscou o pássaro novamente e suplicou que lhe concedesse a liberdade.<LF><LF>""Ah, mas você não pode morrer"", respondeu o pássaro chilreando.<LF>""Você nunca morrerá.""","But conflict did not cease. Eventually, the warrior's frontier nation was invaded so often that the flames of war left the entire country in ruins. Crops withered. People perished. And before long, there were none left who even knew the warrior's name.<LF><LF>The shattered warrior was tortured day and night by endless starvation, but his body refused to let him die. So he sought out the bird again and pleaded for it to grant him release.<LF><LF>""Ah, but you cannot die,"" chirped the bird in response.<LF>""You will never die.""","Pero el conflicto no cesó y, con el tiempo, el país fronterizo del guerrero se veía invadido con tanta frecuencia que las llamas de la guerra redujeron la nación a cenizas, los campos se marchitaron y las gentes perecieron. Pronto, no quedó nadie que recordara el nombre del guerrero.<LF><LF>El guerrero pasaba hambre a diario, pero su cuerpo le impedía morir, de modo que fue en busca del pájaro y le imploró que lo dejara marchar.<LF><LF>""Pero no puedes morir"", pio el pajarito. ""Nunca morirás""."
"Há muito, muito tempo, num reino distante, viviam três irmãos.<LF><LF>O mais novo era um rapaz terrivelmente preguiçoso que passava a maior parte dos dias dormindo. No entanto, ele era tão alegre quanto letárgico e, portanto, amado por todos.","Long, long ago, in a faraway kingdom, there lived three brothers.<LF><LF>The youngest was a terrifically lazy lad who spent most of his days fast asleep. However, he was every bit as cheerful as he was lethargic, and so was beloved by all.","Hace mucho mucho tiempo, en un reino lejano, vivían tres hermanos.<LF><LF>El más joven era un chico muy vago que se pasaba casi todo el día durmiendo. Sin embargo, era tan alegre como apático, de modo que todo el mundo lo apreciaba."
"Quando a nação foi atacada por uma doença contagiosa, o filho mais novo não fez nada além de preguiçar pelo palácio, cantarolando para si mesmo o tempo todo.<LF><LF>Mas sua música alegre confortou os habitantes da cidade, então em vez de odiá-lo, eles cantaram seus louvores. ""Oh, que jovem tão bom!"" eles diziam. ""O melhor jovem que você jamais encontrará!""","When the nation was beset upon by a most contagious disease, the youngest son did naught but laze about the palace, humming to himself all the while.<LF><LF>But his cheerful music comforted the townspeople, so instead of hating him, they sang his praises. ""Oh, what a fine young man!"" they would say. ""Just the finest young man you will ever find!""","Cuando la nación quedó asolada por una terrible enfermedad, el benjamín no hizo sino holgazanear por el palacio y canturrear.<LF><LF>Sus alegres canciones reconfortaban a los aldeanos, de modo que, en lugar de criticarlo, le llovían alabanzas. ""¡Este jovenzuelo es estupendo!"", exclamaban. ""¡Sin duda, no hay otro mozo como él!""."
"Quando a nação se envolveu em guerra, o filho mais novo não fez nada além de se preguiçar no palácio, contando histórias dos bons tempos enquanto isso.<LF><LF> Mas suas histórias fascinantes ajudaram os habitantes da cidade a esquecerem os horrores da guerra, então em vez de odiá-lo, eles cantavam seus louvores. ""Oh, que jovem incrível!"" eles diriam. ""O jovem mais incrível que você jamais encontrará!""","When the nation became embroiled in war, the youngest son did naught but laze about the palace, telling stories of the good old days all the while.<LF><LF>But his fascinating stories helped the townspeople forget the horrors of war, so instead of hating him, they sang his praises. ""Oh, what an amazing young man!"" they would say. ""Just the most amazing young man you will ever find!""","Cuando la nación quedó sumida en la guerra, el benjamín no hizo<LF>sino holgazanear por el palacio y contar historias de los viejos<LF>tiempos.<LF><LF>No obstante, como sus fascinantes historias ayudaron a los vecinos<LF>a olvidar los horrores bélicos, le llovieron alabanzas en vez de<LF>críticas. ""¡Este jovenzuelo es increíble!"", exclamaban. ""¡Sin<LF>duda, no hay otro mozo como él!""."
"Um dia, o filho mais novo estava preguiçando pelo palácio como de costume quando percebeu que não conseguia mais ouvir as vozes dos moradores da cidade e ficou se perguntando por que isso poderia estar acontecendo.<LF><LF>Ele preguiçava e se perguntava.<LF>Ele continuou preguiçando e se perguntando. Ele continuou preguiçando e se perguntando.<LF>Eventualmente, todo aquele questionamento o cansou e ele dormiu. É por isso que nesta nação, onde todos pereceram de guerra e doenças, o único som que pode ser ouvido é o ronco suave de um jovem.<LF><LF>É uma nação de felicidade. Uma nação de felicidade. Uma nação de felicidade. Uma nação de felicidade. Uma nação de felicidade.","One day, the youngest son was lazing about the palace as usual when he realized he could no longer hear the voices of the townspeople, and he wondered why that might be. <LF><LF>He lazed and he wondered.<LF>He lazed and he wondered.<LF>He lazed and he wondered.<LF><LF>Eventually all that wondering tired him out, and he went to sleep. That is why, in that nation where all have perished from war and disease, the only sound that can be heard is the soft snoring of a young man.<LF><LF>It is a nation of happiness. A nation of happiness. A nation of happiness. A nation of happiness. A nation of happiness.","Como era costumbre, el benjamín se encontraba un día vagueando<LF>por el palacio cuando reparó en que ya no se oían las voces de los<LF>vecinos, algo que le llevó a preguntarse el motivo.<LF><LF>Haraganeó y reflexionó.<LF>Haraganeó y reflexionó.<LF>Haraganeó y reflexionó.<LF><LF>Tantas cábalas acabaron por agotarle y decidió irse a dormir. Es por<LF>ello que en aquella nación donde la guerra y las enfermedades se<LF>habían cebado con todos, solo se podían oír los leves ronquidos de<LF>un mocetón.<LF><LF>Es una nación en la que reina la alegría.<LF>Reina la alegría.<LF>Reina la alegría.<LF>Reina la alegría.<LF>Reina la alegría."
"Ela era uma mulher extremamente lenta.<LF><LF>Desajeitada de forma impossível, ela demorava três vezes mais que qualquer outra pessoa para realizar uma tarefa. Ela andava devagar, falava devagar - até mesmo piscava devagar. Tão lenta era a mulher que nem sequer conseguia tirar água para a satisfação de alguém.<LF><LF>As crianças começaram a chamá-la de ""vaca"" e rir quando ela passava, mas ela apenas ria em resposta.","She was a hopelessly slow woman.<LF><LF>Impossibly clumsy, it would take her three times longer than anyone else to accomplish a task. She walked slowly, talked slowly—she even blinked slowly. So slow was the woman that she could not even draw water to anyone's satisfaction.<LF><LF>The children began calling her ""the cow"" and laughing when she passed by, but she would only chuckle in response.","Era una mujer desesperadamente lenta.<LF><LF>Torpe a más no poder, tardaba tres veces más que cualquiera en completar una tarea. Su discurso y sus andares eran lentos..., ¡incluso su parpadeo! Era tan lenta que ni siquiera era capaz de sacar agua de un pozo.<LF><LF>La chiquillada comenzó a llamarle ""vaca"" y a reírse de ella por la calle, pero la mujer solo contestaba con una leve risilla."
"Ela era uma mulher extremamente entediante.<LF><LF>Quando ela caía e se machucava, continuava como se estivesse em transe. Embora moedas frequentemente caíssem de sua bolsa, ela nunca conseguia recuperar uma. E se alguém falasse mal dela na sua frente, levaria horas para perceber o insulto.<LF><LF>Quando as crianças a viam, jogavam pedras com alegria.","She was a hopelessly dull woman.<LF><LF>When she fell and drew blood, she would carry on as though in a daze. Though coins often dropped from her purse, she never managed to retrieve one. And if someone spoke ill of her to her face, it would take hours for her to realize the insult.<LF><LF>When the children saw her, they would hurl rocks with glee.","Era una mujer desesperadamente obtusa.<LF><LF>Cuando se caía y se hacía sangre, seguía adelante como obnubilada. También se le solían caer las monedas, aunque nunca recuperaba ninguna. Y si alguien la insultaba en plena cara, tardaba horas en asimilar la afrenta.<LF><LF>Los niños le tiraban piedras alegremente cada vez que la veían."
"Ela era uma mulher completamente tola.<LF><LF>Em um verão, quando a vila estava sofrendo com uma seca terrível, a mulher desapareceu. As crianças morreram de fome. Os aldeões não perderam tempo se preocupando com a mulher que fugiu.<LF><LF>Dois dias depois, a chuva caiu e a vila foi salva, mas a mulher não voltou. E no vigésimo dia, um xamã chegou na vila.","She was a hopelessly foolish woman.<LF><LF>One summer, when the village was suffering a most terrible drought, the woman vanished. The children all starved to death. The villagers spent no time worrying about the woman who ran away.<LF><LF>Two days later, rain fell and the village was saved, but the woman did not return. And on the twentieth day, a shaman arrived at the village.","Era una mujer desesperadamente ingenua.<LF><LF>Desapareció un verano, cuando una horrible sequía azotó la aldea. Los chiquillos se morían de hambre. Los aldeanos ni siquiera llegaron a plantearse qué habrá sido de aquella mujer que huyó.<LF><LF>Llovió dos días después y la aldea se salvó, pero ella no volvió. Un chamán llegó al lugar al vigésimo día."
